protocol,direction,fold,seed,feature_set,point_id,nearest_training_row_identifier,standardized_nearest_distance
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00050000_wq-0.64000000,k0.00075000_wq-0.61000000,0.7134049516059006
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00000000_wq-0.55000000,k0.00075000_wq-0.47500000,1.8526558925732215
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00050000_wq-0.61000000,k0.00075000_wq-0.55000000,0.6613549116348322
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00025000_wq-0.52500000,k0.00075000_wq-0.47500000,1.1638080327826708
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00000000_wq-0.69000000,k0.00075000_wq-0.47500000,1.8526558925732215
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00000000_wq-0.61000000,k0.00075000_wq-0.47500000,1.8526558925732215
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00050000_wq-0.71250000,k0.00075000_wq-0.69000000,0.9902985142785261
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00050000_wq-0.52500000,k0.00075000_wq-0.47500000,0.5003925084484975
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00025000_wq-0.69000000,k0.00075000_wq-0.58000000,1.4437683407787758
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00050000_wq-0.55000000,k0.00075000_wq-0.47500000,0.49785425201399003
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00050000_wq-0.50000000,k0.00075000_wq-0.47500000,0.5507070690383876
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00025000_wq-0.71250000,k0.00075000_wq-0.61000000,1.5520601969892653
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00050000_wq-0.69000000,k0.00075000_wq-0.66666667,0.8846965786420404
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00000000_wq-0.45000000,k0.00075000_wq-0.47500000,1.8526558925732215
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00025000_wq-0.64000000,k0.00075000_wq-0.47500000,1.1674724159559398
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00025000_wq-0.66666667,k0.00075000_wq-0.52500000,1.3325582725772476
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00000000_wq-0.58000000,k0.00075000_wq-0.47500000,1.8526558925733072
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00050000_wq-0.66666667,k0.00075000_wq-0.64000000,0.7818614528931159
