method,protocol,direction,fold,seed,point_id,k,wq,error_ringdown,error_ringdown_plus_geometry,ringdown_only,ringdown_plus_photon_geometry,delta_log_sigma_min,delta_error_wq
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0463830054446329,0.0141307264581334,0.110197961124687,0.7525612635401862,1.9212040116947893,0.032252278986499495
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0449895598793951,0.0017980105693669,0.110197961124687,0.7525612635401862,1.9212040116947893,0.04319154931002819
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2029,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0447865090396069,0.0182962962945357,0.110197961124687,0.7525612635401862,1.9212040116947893,0.026490212745071202
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2030,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0519148412850994,0.0146983813432861,0.110197961124687,0.7525612635401862,1.9212040116947893,0.0372164599418133
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2026,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0225763566157868,0.0144614291506431,0.110197961124687,0.7525612635401862,1.9212040116947893,0.008114927465143699
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2027,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0216430271861527,0.0047940126835612,0.110197961124687,0.7525612635401862,1.9212040116947893,0.0168490145025915
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2028,k0.00050000_wq-0.58000000,0.0005,-0.58,0.018275966979302,0.0068397605085871,0.110197961124687,0.7525612635401862,1.9212040116947893,0.011436206470714902
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2029,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0210355922232806,0.0153343043368368,0.110197961124687,0.7525612635401862,1.9212040116947893,0.005701287886443801
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2030,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0240457101386339,0.0254605094216807,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.0014147992830467991
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_shifted_g1,2026,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0010280797277906,0.0070008694959801,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.0059727897681895
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_shifted_g1,2027,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0272640941440147,0.0056968206763347,0.110197961124687,0.7525612635401862,1.9212040116947893,0.021567273467679997
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_shifted_g1,2028,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0266193650525462,0.0663044292325893,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.0396850641800431
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_shifted_g1,2029,k0.00050000_wq-0.58000000,0.0005,-0.58,0.003269868633396,0.0103467134352182,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.0070768448018222
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_shifted_g1,2030,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0034212369745728,0.0110267207894064,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.0076054838148336
Jacobian local inverse,random_interpolation,,random_2028,2028,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0099395886965185,0.0209736454159373,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.011034056719418801
MLP,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,k0.00050000_wq-0.58000000,0.0005,-0.58,0.020248383219722,0.0273094353616356,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.007061052141913601
MLP,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0359911164679331,0.0274768899652142,0.110197961124687,0.7525612635401862,1.9212040116947893,0.008514226502718897
MLP,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0289067909301623,0.0396506924676277,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.010743901537465402
MLP,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2029,k0.00050000_wq-0.58000000,0.0005,-0.58,0.041039946703705,0.0320085406672214,0.110197961124687,0.7525612635401862,1.9212040116947893,0.0090314060364836
MLP,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2030,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0390726390054915,0.0331556504248168,0.110197961124687,0.7525612635401862,1.9212040116947893,0.005916988580674701
