method,protocol,feature_set,k_NMAE,identifiable_wq_NMAE,k_q25,k_q75,wq_q25,wq_q75,n
Jacobian local inverse,grouped_physical_interpolation,ringdown_plus_all_shooting,0.02190979955082941,0.03806763493169749,0.011492302071828126,0.039014054564900855,0.029537305800587055,0.06958909908403618,90
Jacobian local inverse,grouped_physical_interpolation,ringdown_plus_photon_geometry,0.018371812675599355,0.04542473304756299,0.008771260708170883,0.03114507496124718,0.03350143445554356,0.06636395282331187,90
Jacobian local inverse,random_interpolation,all_shooting,0.03687147575054009,0.02551629221531152,0.03037119396248783,0.04005353046824541,0.024368725172310434,0.02836429809106893,5
Jacobian local inverse,random_interpolation,photon_geometry,0.05302627616233422,0.03297666857089731,0.04859261166046656,0.05515546983058378,0.03271707887641031,0.03765360468095893,5
Jacobian local inverse,random_interpolation,ringdown,0.004267796456737847,0.01751207319691745,0.004174452156757026,0.005042651722882406,0.016197285879603444,0.02160863681115409,5
Jacobian local inverse,random_interpolation,ringdown_plus_all_shooting,0.01809857091342076,0.023824256401795026,0.01763471186460646,0.023847665359838167,0.020940669308230703,0.02482011228482677,5
Jacobian local inverse,random_interpolation,ringdown_plus_photon_geometry,0.014722808353513021,0.025902689082500326,0.012520387151058694,0.01587546200592829,0.024033964182094986,0.02644089004021177,5
MLP,directional_extrapolation,all_shooting,0.2070352890263403,0.2692825090943205,0.10343339627916927,2.20989192064474,0.17985022534396142,0.7600704114295498,20
MLP,directional_extrapolation,photon_geometry,0.2696006189282035,0.29178632147593453,0.13400150498733088,0.4454642597368813,0.1830320420959601,0.433713983846958,20
MLP,directional_extrapolation,ringdown,0.051282370930457996,0.18390061861016638,0.03698722839134683,0.0726613948865884,0.10253422012035107,0.28630746380971445,20
MLP,directional_extrapolation,ringdown_plus_all_shooting,0.11782734420946075,0.2384869721471434,0.06808045331731892,0.4701307977827489,0.16685349929547133,2.434398147803802,20
MLP,directional_extrapolation,ringdown_plus_photon_geometry,0.09664637668064426,0.1896016271970194,0.0517082446976503,0.2811377822907899,0.1471624996989605,0.4529121317164322,20
MLP,grouped_physical_interpolation,all_shooting,0.0680709513349134,0.09832969297563296,0.0245048672544893,0.16016918163772012,0.04258550072251705,0.23069483265121563,90
MLP,grouped_physical_interpolation,photon_geometry,0.0752105832287619,0.1036563598998301,0.03574508700689422,0.14631817357982202,0.047568448799095525,0.25734779360971893,90
MLP,grouped_physical_interpolation,ringdown,0.02534751695516655,0.0728975978980645,0.011896842847774975,0.04893039686003675,0.04182998989787948,0.1546464628715028,90
MLP,grouped_physical_interpolation,ringdown_plus_all_shooting,0.037294660354134895,0.08272327347677545,0.016408783017105275,0.0723210680822435,0.046330409133334374,0.21080474994248707,90
MLP,grouped_physical_interpolation,ringdown_plus_photon_geometry,0.034387268503260196,0.07375057428921941,0.014879175152242876,0.07250856553035209,0.041857672383400754,0.21109312755830784,90
MLP,random_interpolation,all_shooting,0.0238380311480467,0.0652983978541262,0.0193097841881258,0.0474395811637436,0.0305932313449316,0.0690597879857421,5
MLP,random_interpolation,photon_geometry,0.0254059366670984,0.0480550241899358,0.0219095018789716,0.2731531186098272,0.0434503280149887,0.1619322549463844,5
MLP,random_interpolation,ringdown,0.0256913456963187,0.0581181700687056,0.0246209484643664,0.0515007143209182,0.0331356461360026,0.0666223512219335,5
MLP,random_interpolation,ringdown_plus_all_shooting,0.0418014844364117,0.0603340713031544,0.014299824781885,0.0628955928695112,0.0601193119942843,0.089391252647941,5
MLP,random_interpolation,ringdown_plus_photon_geometry,0.0205580609535946,0.038305742245012,0.017150289993864,0.0213109454597815,0.0321283308840423,0.0419618774468501,5
Nearest physical model,directional_extrapolation,all_shooting,0.19999999999999998,0.19185185185185177,0.19621212121212123,0.22272727272727272,0.15966810966810965,0.2046176046176046,20
Nearest physical model,directional_extrapolation,photon_geometry,0.21666666666666667,0.19375661375661368,0.20606060606060608,0.24621212121212122,0.1463203463203463,0.20507936507936494,20
Nearest physical model,directional_extrapolation,ringdown,0.12878787878787876,0.2541606541606542,0.04545454545454547,0.19999999999999996,0.23079365079365066,0.30274170274170276,20
Nearest physical model,directional_extrapolation,ringdown_plus_all_shooting,0.19999999999999998,0.19343915343915336,0.16590909090909092,0.20833333333333331,0.16392496392496375,0.21619047619047624,20
Nearest physical model,directional_extrapolation,ringdown_plus_photon_geometry,0.19999999999999998,0.19502645502645496,0.14924242424242423,0.2068181818181818,0.16464646464646449,0.22743145743145746,20
Nearest physical model,grouped_physical_interpolation,all_shooting,0.16041666666666668,0.1226190476190476,0.07777777777777778,0.21822916666666664,0.10396825396825397,0.16931216931216939,90
Nearest physical model,grouped_physical_interpolation,photon_geometry,0.2104166666666667,0.12301587301587301,0.1125,0.24999999999999997,0.10952380952380947,0.19298941798941796,90
Nearest physical model,grouped_physical_interpolation,ringdown,0.056250000000000015,0.2208333333333334,0.00625,0.06875,0.19345238095238088,0.24735449735449738,90
Nearest physical model,grouped_physical_interpolation,ringdown_plus_all_shooting,0.11875000000000001,0.1314814814814815,0.06666666666666668,0.1875,0.09980158730158734,0.1620039682539683,90
Nearest physical model,grouped_physical_interpolation,ringdown_plus_photon_geometry,0.10625000000000001,0.1481481481481482,0.06666666666666668,0.16249999999999998,0.09973544973544973,0.17738095238095244,90
Nearest physical model,random_interpolation,all_shooting,0.11666666666666665,0.088023088023088,0.1125,0.11666666666666665,0.08709454796411321,0.10310559006211185,5
Nearest physical model,random_interpolation,photon_geometry,0.15416666666666667,0.1137336093857833,0.15416666666666665,0.17499999999999996,0.10735930735930733,0.11976911976911976,5
Nearest physical model,random_interpolation,ringdown,0.025000000000000012,0.1238095238095238,0.012500000000000002,0.029166666666666674,0.11911663216011042,0.1352092352092351,5
Nearest physical model,random_interpolation,ringdown_plus_all_shooting,0.07916666666666668,0.08350586611456179,0.07083333333333335,0.08750000000000002,0.08225108225108226,0.08626639061421672,5
Nearest physical model,random_interpolation,ringdown_plus_photon_geometry,0.06666666666666668,0.08658008658008659,0.05833333333333334,0.07083333333333333,0.0761904761904762,0.09123533471359563,5
RF,directional_extrapolation,all_shooting,0.22638969479594495,0.20000456664146893,0.21175654611592104,0.25723241843033484,0.09967756041234875,0.20395255751009536,20
RF,directional_extrapolation,photon_geometry,0.2462095542294405,0.2027156663956261,0.21733849065146407,0.26761732394639587,0.15624981127411683,0.2345124209148668,20
RF,directional_extrapolation,ringdown,0.13731057599807595,0.3515967680247444,0.05814156445406427,0.2007844065656565,0.325197313022616,0.36454392054781815,20
