source_csv,filtering_rule,protocol,feature_set,sample_count,aggregation,value,status
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown_plus_all_shooting; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_all_shooting,20,median across registered fold/seed NMAE values,0.1228152008990731,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown_plus_photon_geometry; target=k; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_photon_geometry,20,median across registered fold/seed NMAE values,0.0660503732572813,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown_plus_photon_geometry; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_photon_geometry,20,median across registered fold/seed NMAE values,0.1171959328611131,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=all_shooting; target=k; k=0 excluded only for wq,grouped_physical_interpolation,all_shooting,90,median across registered fold/seed NMAE values,0.0402666861767654,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=all_shooting; target=identifiable_wq; k=0 excluded only for wq,grouped_physical_interpolation,all_shooting,90,median across registered fold/seed NMAE values,0.0408916424413438,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=photon_geometry; target=k; k=0 excluded only for wq,grouped_physical_interpolation,photon_geometry,90,median across registered fold/seed NMAE values,0.0585761050005463,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=photon_geometry; target=identifiable_wq; k=0 excluded only for wq,grouped_physical_interpolation,photon_geometry,90,median across registered fold/seed NMAE values,0.0434853252856736,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown; target=k; k=0 excluded only for wq,grouped_physical_interpolation,ringdown,90,median across registered fold/seed NMAE values,0.0137886111428934,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown; target=identifiable_wq; k=0 excluded only for wq,grouped_physical_interpolation,ringdown,90,median across registered fold/seed NMAE values,0.0458557564880307,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown_plus_all_shooting; target=k; k=0 excluded only for wq,grouped_physical_interpolation,ringdown_plus_all_shooting,90,median across registered fold/seed NMAE values,0.0219097995508294,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown_plus_all_shooting; target=identifiable_wq; k=0 excluded only for wq,grouped_physical_interpolation,ringdown_plus_all_shooting,90,median across registered fold/seed NMAE values,0.0380676349316974,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown_plus_photon_geometry; target=k; k=0 excluded only for wq,grouped_physical_interpolation,ringdown_plus_photon_geometry,90,median across registered fold/seed NMAE values,0.0183718126755993,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown_plus_photon_geometry; target=identifiable_wq; k=0 excluded only for wq,grouped_physical_interpolation,ringdown_plus_photon_geometry,90,median across registered fold/seed NMAE values,0.0454247330475629,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=all_shooting; target=k; k=0 excluded only for wq,random_interpolation,all_shooting,5,median across registered fold/seed NMAE values,0.03687147575054,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=all_shooting; target=identifiable_wq; k=0 excluded only for wq,random_interpolation,all_shooting,5,median across registered fold/seed NMAE values,0.0255162922153115,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=photon_geometry; target=k; k=0 excluded only for wq,random_interpolation,photon_geometry,5,median across registered fold/seed NMAE values,0.0530262761623342,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=photon_geometry; target=identifiable_wq; k=0 excluded only for wq,random_interpolation,photon_geometry,5,median across registered fold/seed NMAE values,0.0329766685708973,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown; target=k; k=0 excluded only for wq,random_interpolation,ringdown,5,median across registered fold/seed NMAE values,0.0042677964567378,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown; target=identifiable_wq; k=0 excluded only for wq,random_interpolation,ringdown,5,median across registered fold/seed NMAE values,0.0175120731969174,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown_plus_all_shooting; target=k; k=0 excluded only for wq,random_interpolation,ringdown_plus_all_shooting,5,median across registered fold/seed NMAE values,0.0180985709134207,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown_plus_all_shooting; target=identifiable_wq; k=0 excluded only for wq,random_interpolation,ringdown_plus_all_shooting,5,median across registered fold/seed NMAE values,0.023824256401795,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown_plus_photon_geometry; target=k; k=0 excluded only for wq,random_interpolation,ringdown_plus_photon_geometry,5,median across registered fold/seed NMAE values,0.014722808353513,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown_plus_photon_geometry; target=identifiable_wq; k=0 excluded only for wq,random_interpolation,ringdown_plus_photon_geometry,5,median across registered fold/seed NMAE values,0.0259026890825003,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=all_shooting; target=k; k=0 excluded only for wq,directional_extrapolation,all_shooting,20,median across registered fold/seed NMAE values,0.2070352890263403,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=all_shooting; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,all_shooting,20,median across registered fold/seed NMAE values,0.2692825090943205,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=photon_geometry; target=k; k=0 excluded only for wq,directional_extrapolation,photon_geometry,20,median across registered fold/seed NMAE values,0.2696006189282035,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=photon_geometry; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,photon_geometry,20,median across registered fold/seed NMAE values,0.2917863214759345,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown; target=k; k=0 excluded only for wq,directional_extrapolation,ringdown,20,median across registered fold/seed NMAE values,0.0512823709304579,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,ringdown,20,median across registered fold/seed NMAE values,0.1839006186101663,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown_plus_all_shooting; target=k; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_all_shooting,20,median across registered fold/seed NMAE values,0.1178273442094607,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown_plus_all_shooting; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_all_shooting,20,median across registered fold/seed NMAE values,0.2384869721471434,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown_plus_photon_geometry; target=k; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_photon_geometry,20,median across registered fold/seed NMAE values,0.0966463766806442,PASS
