method,protocol,direction,fold,seed,feature_set,k_NMAE,identifiable_wq_NMAE
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2028,ringdown_plus_photon_geometry,0.21818181818181817,0.08167388167388166
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2029,all_shooting,0.2333333333333333,0.08465608465608464
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2029,photon_geometry,0.2636363636363636,0.1008177008177008
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2029,ringdown,0.19999999999999996,0.2542568542568543
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2029,ringdown_plus_all_shooting,0.21818181818181817,0.08494468494468492
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2029,ringdown_plus_photon_geometry,0.20909090909090908,0.078018278018278
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2030,all_shooting,0.22727272727272724,0.0808080808080808
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2030,photon_geometry,0.25151515151515147,0.09369889369889367
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2030,ringdown,0.19999999999999996,0.2540644540644541
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2030,ringdown_plus_all_shooting,0.21515151515151512,0.08744588744588742
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2030,ringdown_plus_photon_geometry,0.21515151515151512,0.09033189033189032
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,all_shooting,0.19999999999999998,0.22222222222222227
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,photon_geometry,0.24545454545454545,0.22857142857142862
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,ringdown,0.05454545454545456,0.26666666666666666
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,ringdown_plus_all_shooting,0.10909090909090911,0.21269841269841275
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,ringdown_plus_photon_geometry,0.0787878787878788,0.20952380952380958
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,all_shooting,0.16969696969696968,0.1904761904761905
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,photon_geometry,0.21515151515151512,0.1904761904761905
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,ringdown,0.04545454545454546,0.20952380952380958
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,ringdown_plus_all_shooting,0.09696969696969696,0.1904761904761905
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,ringdown_plus_photon_geometry,0.06666666666666667,0.1904761904761905
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,all_shooting,0.19999999999999998,0.24317460317460327
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,photon_geometry,0.24848484848484848,0.260952380952381
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,ringdown,0.05151515151515152,0.25777777777777783
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,ringdown_plus_all_shooting,0.10606060606060606,0.22666666666666674
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,ringdown_plus_photon_geometry,0.07272727272727272,0.2266666666666667
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,all_shooting,0.1696969696969697,0.1904761904761905
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,photon_geometry,0.21515151515151512,0.21142857142857147
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,ringdown,0.048484848484848485,0.21968253968253973
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,ringdown_plus_all_shooting,0.09393939393939395,0.1904761904761905
