method,protocol,direction,fold,seed,feature_set,n_test,n_wq_scored,MAE_k,NMAE_k,MAE_identifiable_wq,NMAE_identifiable_wq
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2028,photon_geometry,33,33,0.0006590909090909091,0.2636363636363636,0.02659090909090909,0.10129870129870128
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2028,ringdown,33,33,0.0005,0.19999999999999996,0.06719696969696969,0.255988455988456
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2028,ringdown_plus_all_shooting,33,33,0.0005530303030303031,0.2212121212121212,0.021590909090909088,0.08225108225108221
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2028,ringdown_plus_photon_geometry,33,33,0.0005454545454545455,0.21818181818181817,0.02143939393939394,0.08167388167388166
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2029,all_shooting,33,33,0.0005833333333333333,0.2333333333333333,0.022222222222222223,0.08465608465608464
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2029,photon_geometry,33,33,0.0006590909090909091,0.2636363636363636,0.026464646464646465,0.1008177008177008
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2029,ringdown,33,33,0.0005,0.19999999999999996,0.06674242424242424,0.2542568542568543
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2029,ringdown_plus_all_shooting,33,33,0.0005454545454545454,0.21818181818181817,0.0222979797979798,0.08494468494468492
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2029,ringdown_plus_photon_geometry,33,33,0.0005227272727272727,0.20909090909090908,0.02047979797979798,0.078018278018278
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2030,all_shooting,33,33,0.0005681818181818183,0.22727272727272724,0.02121212121212121,0.0808080808080808
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2030,photon_geometry,33,33,0.0006287878787878787,0.25151515151515147,0.02459595959595959,0.09369889369889367
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2030,ringdown,33,33,0.0005,0.19999999999999996,0.0666919191919192,0.2540644540644541
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2030,ringdown_plus_all_shooting,33,33,0.0005378787878787879,0.21515151515151512,0.02295454545454545,0.08744588744588742
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2030,ringdown_plus_photon_geometry,33,33,0.0005378787878787879,0.21515151515151512,0.023712121212121212,0.09033189033189032
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,all_shooting,33,30,0.0005,0.19999999999999998,0.058333333333333355,0.22222222222222227
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,photon_geometry,33,30,0.0006136363636363637,0.24545454545454545,0.06000000000000003,0.22857142857142862
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,ringdown,33,30,0.00013636363636363637,0.05454545454545456,0.07000000000000002,0.26666666666666666
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,ringdown_plus_all_shooting,33,30,0.00027272727272727274,0.10909090909090911,0.05583333333333336,0.21269841269841275
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,ringdown_plus_photon_geometry,33,30,0.00019696969696969698,0.0787878787878788,0.05500000000000003,0.20952380952380958
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,all_shooting,33,30,0.0004242424242424243,0.16969696969696968,0.050000000000000024,0.1904761904761905
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,photon_geometry,33,30,0.0005378787878787879,0.21515151515151512,0.050000000000000024,0.1904761904761905
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,ringdown,33,30,0.00011363636363636364,0.04545454545454546,0.05500000000000003,0.20952380952380958
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,ringdown_plus_all_shooting,33,30,0.00024242424242424236,0.09696969696969696,0.050000000000000024,0.1904761904761905
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,ringdown_plus_photon_geometry,33,30,0.0001666666666666667,0.06666666666666667,0.050000000000000024,0.1904761904761905
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,all_shooting,33,30,0.0005,0.19999999999999998,0.06383333333333335,0.24317460317460327
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,photon_geometry,33,30,0.0006212121212121214,0.24848484848484848,0.0685,0.260952380952381
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,ringdown,33,30,0.0001287878787878788,0.05151515151515152,0.0676666666666667,0.25777777777777783
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,ringdown_plus_all_shooting,33,30,0.0002651515151515152,0.10606060606060606,0.05950000000000002,0.22666666666666674
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,ringdown_plus_photon_geometry,33,30,0.00018181818181818183,0.07272727272727272,0.05950000000000001,0.2266666666666667
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,all_shooting,33,30,0.00042424242424242425,0.1696969696969697,0.050000000000000024,0.1904761904761905
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,photon_geometry,33,30,0.0005378787878787879,0.21515151515151512,0.05550000000000002,0.21142857142857147
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,ringdown,33,30,0.00012121212121212121,0.048484848484848485,0.05766666666666669,0.21968253968253973
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,ringdown_plus_all_shooting,33,30,0.00023484848484848486,0.09393939393939395,0.050000000000000024,0.1904761904761905
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,ringdown_plus_photon_geometry,33,30,0.00017424242424242425,0.0696969696969697,0.050000000000000024,0.1904761904761905
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,all_shooting,33,30,0.0004015151515151516,0.1606060606060606,0.050000000000000024,0.1904761904761905
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,photon_geometry,33,30,0.0005757575757575758,0.23030303030303031,0.05416666666666669,0.2063492063492064
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,ringdown,33,30,0.00014393939393939396,0.05757575757575758,0.06566666666666669,0.25015873015873025
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,ringdown_plus_all_shooting,33,30,0.0002651515151515152,0.10606060606060606,0.050833333333333355,0.19365079365079368
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,ringdown_plus_photon_geometry,33,30,0.0001893939393939394,0.07575757575757576,0.0516666666666667,0.19682539682539688
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2026,all_shooting,16,12,0.00028125,0.11250000000000002,0.053680555555555565,0.2044973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2026,photon_geometry,16,12,0.0003125,0.125,0.053680555555555565,0.2044973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2026,ringdown,16,12,1.5625e-05,0.00625,0.06729166666666667,0.25634920634920627
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2026,ringdown_plus_all_shooting,16,12,0.00021875,0.0875,0.05118055555555556,0.194973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2026,ringdown_plus_photon_geometry,16,12,0.00021875,0.0875,0.05118055555555556,0.194973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2027,all_shooting,16,12,0.00025,0.1,0.04868055555555556,0.18544973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2027,photon_geometry,16,12,0.00028125000000000003,0.1125,0.04868055555555556,0.18544973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2027,ringdown,16,12,1.5625e-05,0.00625,0.06729166666666667,0.25634920634920627
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2027,ringdown_plus_all_shooting,16,12,0.00020312500000000002,0.08125,0.04618055555555556,0.17592592592592593
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2027,ringdown_plus_photon_geometry,16,12,0.0001875,0.07500000000000001,0.04618055555555556,0.17592592592592593
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2028,all_shooting,16,12,0.0003125,0.125,0.05868055555555557,0.2235449735449736
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2028,photon_geometry,16,12,0.00034375000000000003,0.1375,0.05618055555555557,0.21402116402116403
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2028,ringdown,16,12,4.6875e-05,0.018750000000000003,0.079375,0.30238095238095236
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2028,ringdown_plus_all_shooting,16,12,0.00021875,0.0875,0.05118055555555556,0.194973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2028,ringdown_plus_photon_geometry,16,12,0.00021875,0.0875,0.05118055555555556,0.194973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2029,all_shooting,16,12,0.00028125,0.11250000000000002,0.053680555555555565,0.2044973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2029,photon_geometry,16,12,0.000328125,0.13125,0.053680555555555565,0.2044973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2029,ringdown,16,12,1.5625e-05,0.00625,0.07729166666666668,0.29444444444444445
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2029,ringdown_plus_all_shooting,16,12,0.000234375,0.09375,0.05118055555555556,0.19497354497354502
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2029,ringdown_plus_photon_geometry,16,12,0.0001875,0.07500000000000001,0.04895833333333335,0.18650793650793654
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2030,all_shooting,16,12,0.00034375,0.1375,0.06562500000000002,0.25000000000000006
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2030,photon_geometry,16,12,0.000390625,0.15625,0.06312500000000001,0.24047619047619054
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2030,ringdown,16,12,6.25e-05,0.025,0.08979166666666666,0.3420634920634921
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2030,ringdown_plus_all_shooting,16,12,0.000265625,0.10625000000000001,0.06312500000000001,0.2404761904761905
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2030,ringdown_plus_photon_geometry,16,12,0.000265625,0.10625000000000001,0.06312500000000001,0.2404761904761905
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2026,all_shooting,16,12,0.00015625,0.0625,0.050972222222222224,0.1941798941798942
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2026,photon_geometry,16,12,0.00028125000000000003,0.1125,0.05305555555555556,0.20211640211640214
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2026,ringdown,16,12,1.5625e-05,0.00625,0.05097222222222223,0.19417989417989423
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2026,ringdown_plus_all_shooting,16,12,0.000109375,0.043750000000000004,0.050972222222222224,0.1941798941798942
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2026,ringdown_plus_photon_geometry,16,12,7.8125e-05,0.03125,0.050972222222222224,0.1941798941798942
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2027,all_shooting,16,12,0.00015625,0.0625,0.04680555555555557,0.17830687830687839
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2027,photon_geometry,16,12,0.000265625,0.10625,0.050972222222222224,0.1941798941798942
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2027,ringdown,16,12,0.0,0.0,0.04541666666666671,0.17301587301587315
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2027,ringdown_plus_all_shooting,16,12,9.375e-05,0.037500000000000006,0.0426388888888889,0.16243386243386249
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2027,ringdown_plus_photon_geometry,16,12,4.6875e-05,0.018750000000000003,0.04625000000000001,0.17619047619047623
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2028,all_shooting,16,12,0.00015625,0.0625,0.04472222222222224,0.17037037037037042
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2028,photon_geometry,16,12,0.00023437500000000002,0.09375,0.04930555555555557,0.18783068783068788
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2028,ringdown,16,12,1.5625e-05,0.00625,0.047083333333333366,0.17936507936507948
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2028,ringdown_plus_all_shooting,16,12,7.8125e-05,0.03125,0.04055555555555557,0.15449735449735455
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2028,ringdown_plus_photon_geometry,16,12,4.6875e-05,0.018750000000000003,0.04208333333333334,0.16031746031746033
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2029,all_shooting,16,12,0.000171875,0.06875,0.048888888888888905,0.18624338624338632
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2029,photon_geometry,16,12,0.000265625,0.10625000000000001,0.053472222222222233,0.20370370370370375
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2029,ringdown,16,12,3.125e-05,0.0125,0.053333333333333365,0.20317460317460326
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2029,ringdown_plus_all_shooting,16,12,9.375e-05,0.037500000000000006,0.04472222222222224,0.17037037037037042
