method,protocol,direction,fold,seed,feature_set,n_test,n_wq_scored,MAE_k,NMAE_k,MAE_identifiable_wq,NMAE_identifiable_wq
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2029,ringdown_plus_all_shooting,33,33,0.0006022812589094102,0.24091250356376404,0.03745267157551139,0.14267684409718623
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2029,ringdown_plus_photon_geometry,33,33,0.00044896957860847,0.17958783144338805,0.029343654914189395,0.11178535205405485
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2030,all_shooting,33,33,0.0006920049873820097,0.27680199495280383,0.0415865832666862,0.1584250791111855
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2030,photon_geometry,33,33,0.0011449477135980868,0.45797908543923477,0.07521763714418217,0.28654337959688436
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2030,ringdown,33,33,5.674708917166943e-05,0.022698835668667768,0.014539984591832394,0.055390417492694834
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2030,ringdown_plus_all_shooting,33,33,0.0004994116720093263,0.1997646688037305,0.02531553827821874,0.09644014582178567
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2030,ringdown_plus_photon_geometry,33,33,0.00036611996477692305,0.14644798591076919,0.01832026025335831,0.06979146763184119
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,all_shooting,33,30,0.00022748785324416696,0.09099514129766678,0.019313725464117765,0.07357609700616291
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,photon_geometry,33,30,0.0003050781893538951,0.12203127574155806,0.019262244839552037,0.0733799803411506
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,ringdown,33,30,4.331498993847036e-05,0.017325995975388142,0.014523852318115765,0.05532896121186958
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,ringdown_plus_all_shooting,33,30,0.00010059461504766669,0.04023784601906667,0.023050914038706974,0.08781300586174083
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,ringdown_plus_photon_geometry,33,30,7.688494010505929e-05,0.030753976042023713,0.027008544300970914,0.10288969257512727
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,all_shooting,33,30,0.00018570703131439673,0.07428281252575866,0.022640894159971704,0.08625102537132076
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,photon_geometry,33,30,0.00024530052511531587,0.09812021004612635,0.0220689564802672,0.08407221516292267
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,ringdown,33,30,3.5953888229019916e-05,0.014381555291607966,0.013942460689058234,0.05311413595831708
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,ringdown_plus_all_shooting,33,30,8.088333790094888e-05,0.032353335160379554,0.02208934212182244,0.08414987474979974
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,ringdown_plus_photon_geometry,33,30,6.561111746151014e-05,0.02624444698460406,0.02500227602284971,0.09524676580133222
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,all_shooting,33,30,0.00023013255648925536,0.09205302259570215,0.02211575551441176,0.08425049719775907
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,photon_geometry,33,30,0.0003226155874759451,0.12904623499037807,0.0244793398582233,0.09325462803132685
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,ringdown,33,30,4.228652259795094e-05,0.016914609039180375,0.016104102142111675,0.06134896054137782
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,ringdown_plus_all_shooting,33,30,0.00010043632107716264,0.04017452843086505,0.02552301807277929,0.0972305450391592
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,ringdown_plus_photon_geometry,33,30,7.810300176601087e-05,0.031241200706404352,0.02920340366851566,0.11125106159434536
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,all_shooting,33,30,0.00017379830409723114,0.06951932163889245,0.01891578073924199,0.07206011710187425
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,photon_geometry,33,30,0.0002376184190589082,0.09504736762356325,0.023285479551199587,0.0887065887664746
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,ringdown,33,30,3.809916387180303e-05,0.015239665548721215,0.012722512865843852,0.04846671567940515
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,ringdown_plus_all_shooting,33,30,8.179323373931396e-05,0.03271729349572559,0.02081884020430305,0.07930986744496399
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,ringdown_plus_photon_geometry,33,30,6.595384650781706e-05,0.02638153860312682,0.023342427501081467,0.08892353333745323
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,all_shooting,33,30,0.00019053766770253596,0.07621506708101437,0.019780360526563734,0.07535375438690946
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,photon_geometry,33,30,0.0002770917734042271,0.11083670936169085,0.019802272150481963,0.07543722723993128
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,ringdown,33,30,4.448123008071122e-05,0.017792492032284488,0.012857673984653968,0.048981615179634154
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,ringdown_plus_all_shooting,33,30,0.00010458028184443931,0.04183211273777573,0.02120027202111865,0.08076294103283298
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,ringdown_plus_photon_geometry,33,30,7.256496224194891e-05,0.029025984896779565,0.023821710496059006,0.09074937331831999
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2026,all_shooting,16,12,9.424568847275292e-05,0.037698275389101164,0.00932321064216853,0.03551699292254678
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2026,photon_geometry,16,12,0.00015097819788450394,0.06039127915380157,0.01028068991288239,0.039164533001456725
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2026,ringdown,16,12,1.5207380869393804e-05,0.0060829523477575215,0.00875054364242391,0.033335404352091084
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2026,ringdown_plus_all_shooting,16,12,5.046074784470778e-05,0.02018429913788311,0.007417222400191353,0.028256085334062295
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2026,ringdown_plus_photon_geometry,16,12,3.555546327689743e-05,0.014222185310758972,0.00703275871189557,0.026791461759602175
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2027,all_shooting,16,12,7.267715489740174e-05,0.0290708619589607,0.010884373725317817,0.041464280858353596
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2027,photon_geometry,16,12,0.0001185730425945391,0.04742921703781565,0.008983695198896793,0.03422360075770207
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2027,ringdown,16,12,1.6798837848369854e-05,0.006719535139347941,0.012372749807675831,0.04713428498162222
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2027,ringdown_plus_all_shooting,16,12,3.146663456713254e-05,0.012586653826853016,0.008042786445833625,0.030639186460318574
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2027,ringdown_plus_photon_geometry,16,12,2.297023744441138e-05,0.00918809497776455,0.008080103388992815,0.030781346243782152
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2028,all_shooting,16,12,8.897936777955117e-05,0.03559174711182047,0.011139590643737513,0.0424365357856667
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2028,photon_geometry,16,12,0.00015723845164487555,0.06289538065795022,0.012572081861838983,0.04789364518795802
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2028,ringdown,16,12,2.3168881876954812e-05,0.009267552750781925,0.0134873030647177,0.05138020215130552
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2028,ringdown_plus_all_shooting,16,12,3.156563668346682e-05,0.012626254673386728,0.010256669072807839,0.03907302503926796
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2028,ringdown_plus_photon_geometry,16,12,2.486737447784595e-05,0.00994694979113838,0.010035995823462318,0.03823236504176122
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2029,all_shooting,16,12,9.194172252943162e-05,0.036776689011772654,0.008518472318807887,0.032451323119268134
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2029,photon_geometry,16,12,0.00013756900904581052,0.05502760361832422,0.009575683040045366,0.03647879253350616
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2029,ringdown,16,12,1.9215926765433423e-05,0.0076863707061733694,0.007703307188444271,0.029345932146454364
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2029,ringdown_plus_all_shooting,16,12,3.74791679293791e-05,0.014991667171751641,0.0075763362031290304,0.02886223315477726
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2029,ringdown_plus_photon_geometry,16,12,2.817573969417134e-05,0.011270295877668535,0.006883577430635751,0.02622315211670762
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2030,all_shooting,16,12,0.00014124932997845485,0.056499731991381946,0.016501422149681227,0.0628625605702142
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2030,photon_geometry,16,12,0.00022945026100114395,0.09178010440045759,0.013713295179643675,0.052241124493880665
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2030,ringdown,16,12,3.091605828891891e-05,0.012366423315567563,0.023001172055372814,0.08762351259189644
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2030,ringdown_plus_all_shooting,16,12,7.102348581439608e-05,0.028409394325758428,0.01794781151370824,0.0683726152903171
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g0,2030,ringdown_plus_photon_geometry,16,12,4.945663914635288e-05,0.01978265565854115,0.017126380394314744,0.06524335388310377
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2026,all_shooting,16,12,7.983708956097938e-05,0.031934835824391744,0.014484609904241164,0.055179466301871094
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2026,photon_geometry,16,12,0.0001159542372748605,0.046381694909944204,0.013013770951684841,0.04957627029213272
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2026,ringdown,16,12,7.791939864830555e-06,0.0031167759459322223,0.014795146418874148,0.056362462548091984
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2026,ringdown_plus_all_shooting,16,12,3.151156312709283e-05,0.012604625250837134,0.012771191762770686,0.04865215909626928
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2026,ringdown_plus_photon_geometry,16,12,2.161272572675666e-05,0.008645090290702661,0.016949565430243386,0.06456977306759386
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2027,all_shooting,16,12,4.853067063629797e-05,0.019412268254519187,0.016877664821903754,0.06429586598820476
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2027,photon_geometry,16,12,9.894492640797474e-05,0.03957797056318989,0.014829228905337694,0.056492300591762634
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2027,ringdown,16,12,5.557402729066873e-06,0.002222961091626749,0.014544230252050427,0.055406591436382574
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2027,ringdown_plus_all_shooting,16,12,1.9416028418074858e-05,0.007766411367229943,0.012215004804921261,0.04653335163779529
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2027,ringdown_plus_photon_geometry,16,12,1.771809733408713e-05,0.007087238933634853,0.00989000055977319,0.03767619260865977
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2028,all_shooting,16,12,4.119427864118829e-05,0.016477711456475315,0.016363846339911742,0.06233846224728284
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2028,photon_geometry,16,12,9.390105631528785e-05,0.037560422526115134,0.01443026597892102,0.05497244182446104
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2028,ringdown,16,12,7.448277185499263e-06,0.0029793108741997055,0.01323357756762585,0.05041362882905085
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2028,ringdown_plus_all_shooting,16,12,1.529573229244036e-05,0.006118292916976142,0.014479755647104455,0.05516097389373126
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2028,ringdown_plus_photon_geometry,16,12,1.4805989567702816e-05,0.005922395827081126,0.013073825915372289,0.049805051106180144
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2029,all_shooting,16,12,3.646887492610202e-05,0.014587549970440806,0.018646413149650532,0.07103395485581154
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2029,photon_geometry,16,12,8.52397757470685e-05,0.034095910298827393,0.018178995403280312,0.06925331582202023
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2029,ringdown,16,12,7.393891004269767e-06,0.0029575564017079066,0.015754425992350152,0.060016860923238685
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2029,ringdown_plus_all_shooting,16,12,1.4975019875372017e-05,0.005990007950148806,0.014687711614863272,0.05595318710424104
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2029,ringdown_plus_photon_geometry,16,12,1.0820918862242028e-05,0.004328367544896811,0.013472295540631238,0.051323030630976145
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2030,all_shooting,16,12,3.791662562766831e-05,0.015166650251067325,0.022227986001064754,0.08467804190881811
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2030,photon_geometry,16,12,9.476228942318594e-05,0.03790491576927437,0.021190679949959212,0.08072639980936842
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2030,ringdown,16,12,6.362593584528453e-06,0.002545037433811381,0.022104371245224713,0.08420712855323699
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g1,2030,ringdown_plus_all_shooting,16,12,1.319530055604793e-05,0.005278120222419172,0.019147254975613166,0.0729419237166216
