k,wq,observable_set,sigma_max_81,sigma_min_81,condition_number_81,cosine_similarity_81,sensitivity_angle_deg_81,numerical_rank_81,gram_determinant_81,derivative_scheme_k_81,derivative_scheme_wq_81,derivative_quality_81,missing_features_81,feature_count_81,rank_tolerance_81,parameter_k_scale_81,parameter_wq_scale_81,sigma_max_161,sigma_min_161,condition_number_161,cosine_similarity_161,sensitivity_angle_deg_161,numerical_rank_161,gram_determinant_161,derivative_scheme_k_161,derivative_scheme_wq_161,derivative_quality_161,missing_features_161,feature_count_161,rank_tolerance_161,parameter_k_scale_161,parameter_wq_scale_161,sigma_max_321,sigma_min_321,condition_number_321,cosine_similarity_321,sensitivity_angle_deg_321,numerical_rank_321,gram_determinant,derivative_scheme_k,derivative_scheme_wq,derivative_quality_321,missing_features,feature_count,rank_tolerance,parameter_k_scale,parameter_wq_scale
0.0,-0.58,timing,2.2746962754560425,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,2.2746962754560424e-10,0.0025,0.2625,2.273814114170513,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,2.2738141141705127e-10,0.0025,0.2625,2.2750128079874465,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,2.2750128079874466e-10,0.0025,0.2625
0.0,-0.58,all_shooting,3.838602516325092,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,3.8386025163250927e-10,0.0025,0.2625,3.838790362151727,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,3.8387903621517264e-10,0.0025,0.2625,3.838975188011608,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,3.8389751880116083e-10,0.0025,0.2625
0.0,-0.58,ringdown_only,1.8730248659654496,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.8730248659654494e-10,0.0025,0.2625,1.8730248659654496,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.8730248659654494e-10,0.0025,0.2625,1.8730248659652464,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.8730248659652465e-10,0.0025,0.2625
0.0,-0.58,ringdown_plus_photon_geometry,2.900915631934054,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,2.9009156319340536e-10,0.0025,0.2625,2.9013099717603628,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,2.9013099717603627e-10,0.0025,0.2625,2.8993585590467643,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,2.8993585590467645e-10,0.0025,0.2625
0.0,-0.58,ringdown_plus_all_shooting,4.271193208795666,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,4.271193208795666e-10,0.0025,0.2625,4.271362030204636,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,4.2713620302046357e-10,0.0025,0.2625,4.271528139049641,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,4.2715281390496414e-10,0.0025,0.2625
0.0,-0.45,orbital,0.403054732870247,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,4.030547328702471e-11,0.0025,0.2625,0.4032047450437938,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,4.032047450437938e-11,0.0025,0.2625,0.3311046329918823,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,3.3110463299188234e-11,0.0025,0.2625
0.0,-0.45,photon_geometry,0.463446790657289,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,4.6344679065728894e-11,0.0025,0.2625,0.4635615425547973,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,4.6356154255479726e-11,0.0025,0.2625,0.41929493950474406,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,4.1929493950474405e-11,0.0025,0.2625
0.0,-0.45,redshift,0.2074611882671709,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,2.074611882671709e-11,0.0025,0.2625,0.2076184522067732,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,2.0761845220677318e-11,0.0025,0.2625,0.19470531828682286,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,1.9470531828682286e-11,0.0025,0.2625
0.0,-0.45,timing,0.983316920363092,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,9.833169203630919e-11,0.0025,0.2625,0.9839390525238412,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,9.839390525238412e-11,0.0025,0.2625,0.9469070034352123,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,9.469070034352123e-11,0.0025,0.2625
0.0,-0.45,all_shooting,1.177789605986243,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.177789605986243e-10,0.0025,0.2625,1.1784332187017914,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.1784332187017914e-10,0.0025,0.2625,1.1045277535701865,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.1045277535701866e-10,0.0025,0.2625
