feature_set,row_id,point_id,k,wq,neighbor_row_id,neighbor_point_id,neighbor_k,neighbor_wq,d_O,d_theta
ringdown,57,k0p001250000_wqm0p666666667,0.00125,-0.6666666666666666,56,k0p001250000_wqm0p690000000,0.00125,-0.69,0.02907020494558245,0.08888888888888882
ringdown,58,k0p001250000_wqm0p640000000,0.00125,-0.64,57,k0p001250000_wqm0p666666667,0.00125,-0.6666666666666666,0.031232092476797833,0.10158730158730139
ringdown,59,k0p001250000_wqm0p610000000,0.00125,-0.61,60,k0p001250000_wqm0p580000000,0.00125,-0.58,0.03092993634464415,0.11428571428571438
ringdown,60,k0p001250000_wqm0p580000000,0.00125,-0.58,61,k0p001250000_wqm0p550000000,0.00125,-0.55,0.029161936032949174,0.11428571428571396
ringdown,61,k0p001250000_wqm0p550000000,0.00125,-0.55,62,k0p001250000_wqm0p525000000,0.00125,-0.525,0.02308621210401707,0.09523809523809532
ringdown,62,k0p001250000_wqm0p525000000,0.00125,-0.525,63,k0p001250000_wqm0p500000000,0.00125,-0.5,0.022067669168229487,0.09523809523809532
ringdown,63,k0p001250000_wqm0p500000000,0.00125,-0.5,64,k0p001250000_wqm0p475000000,0.00125,-0.475,0.02111359196835367,0.09523809523809532
ringdown,64,k0p001250000_wqm0p475000000,0.00125,-0.475,65,k0p001250000_wqm0p450000000,0.00125,-0.45,0.020211145803968933,0.09523809523809511
ringdown,65,k0p001250000_wqm0p450000000,0.00125,-0.45,64,k0p001250000_wqm0p475000000,0.00125,-0.475,0.020211145803968933,0.09523809523809511
ringdown,66,k0p001500000_wqm0p712500000,0.0015,-0.7125,67,k0p001500000_wqm0p690000000,0.0015,-0.69,0.03576679027282541,0.08571428571428599
ringdown,67,k0p001500000_wqm0p690000000,0.0015,-0.69,68,k0p001500000_wqm0p666666667,0.0015,-0.6666666666666666,0.03488424593466904,0.08888888888888882
ringdown,68,k0p001500000_wqm0p666666667,0.0015,-0.6666666666666666,67,k0p001500000_wqm0p690000000,0.0015,-0.69,0.03488424593466904,0.08888888888888882
ringdown,69,k0p001500000_wqm0p640000000,0.0015,-0.64,68,k0p001500000_wqm0p666666667,0.0015,-0.6666666666666666,0.037478510972158256,0.10158730158730139
ringdown,70,k0p001500000_wqm0p610000000,0.0015,-0.61,71,k0p001500000_wqm0p580000000,0.0015,-0.58,0.03711592361355667,0.11428571428571438
ringdown,71,k0p001500000_wqm0p580000000,0.0015,-0.58,72,k0p001500000_wqm0p550000000,0.0015,-0.55,0.03499432323954012,0.11428571428571396
ringdown,72,k0p001500000_wqm0p550000000,0.0015,-0.55,73,k0p001500000_wqm0p525000000,0.0015,-0.525,0.027703454524852383,0.09523809523809532
ringdown,73,k0p001500000_wqm0p525000000,0.0015,-0.525,74,k0p001500000_wqm0p500000000,0.0015,-0.5,0.02648120300186491,0.09523809523809532
ringdown,74,k0p001500000_wqm0p500000000,0.0015,-0.5,75,k0p001500000_wqm0p475000000,0.0015,-0.475,0.02533631036199649,0.09523809523809532
ringdown,75,k0p001500000_wqm0p475000000,0.0015,-0.475,76,k0p001500000_wqm0p450000000,0.0015,-0.45,0.02425337496478129,0.09523809523809511
ringdown,76,k0p001500000_wqm0p450000000,0.0015,-0.45,75,k0p001500000_wqm0p475000000,0.0015,-0.475,0.02425337496478129,0.09523809523809511
ringdown,77,k0p001750000_wqm0p712500000,0.00175,-0.7125,78,k0p001750000_wqm0p690000000,0.00175,-0.69,0.04172792198496444,0.08571428571428599
ringdown,78,k0p001750000_wqm0p690000000,0.00175,-0.69,79,k0p001750000_wqm0p666666667,0.00175,-0.6666666666666666,0.040698286923790135,0.08888888888888882
ringdown,79,k0p001750000_wqm0p666666667,0.00175,-0.6666666666666666,78,k0p001750000_wqm0p690000000,0.00175,-0.69,0.040698286923790135,0.08888888888888882
ringdown,80,k0p001750000_wqm0p640000000,0.00175,-0.64,79,k0p001750000_wqm0p666666667,0.00175,-0.6666666666666666,0.04372492946752023,0.10158730158730139
ringdown,81,k0p001750000_wqm0p610000000,0.00175,-0.61,82,k0p001750000_wqm0p580000000,0.00175,-0.58,0.04330191088249454,0.11428571428571438
