k,wq,observable_set,sigma_max,sigma_min,condition_number,cosine_similarity,sensitivity_angle_deg,numerical_rank,gram_determinant,derivative_scheme_k,derivative_scheme_wq,derivative_quality,missing_features,feature_count,rank_tolerance,parameter_k_scale,parameter_wq_scale
0.0,-0.55,redshift,0.6737891042225727,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,6.737891042225727e-11,0.0025,0.2625
0.0,-0.55,timing,1.8566514112646895,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,1.8566514112646896e-10,0.0025,0.2625
0.0,-0.55,all_shooting,2.851852559303535,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,2.8518525593035354e-10,0.0025,0.2625
0.0,-0.55,ringdown_only,1.772442240074731,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.7724422400747312e-10,0.0025,0.2625
0.0,-0.55,ringdown_plus_photon_geometry,2.354566215432592,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,2.354566215432592e-10,0.0025,0.2625
0.0,-0.55,ringdown_plus_all_shooting,3.3577692765297695,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,3.35776927652977e-10,0.0025,0.2625
0.0,-0.525,orbital,1.0038692139137115,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,1.0038692139137115e-10,0.0025,0.2625
0.0,-0.525,photon_geometry,1.1473786647457076,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,1.1473786647457076e-10,0.0025,0.2625
0.0,-0.525,redshift,0.493412362864774,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,4.934123628647741e-11,0.0025,0.2625
0.0,-0.525,timing,1.5759013165585478,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,1.5759013165585478e-10,0.0025,0.2625
0.0,-0.525,all_shooting,2.247476789271947,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,2.2474767892719473e-10,0.0025,0.2625
0.0,-0.525,ringdown_only,1.6911542041048884,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.6911542041048884e-10,0.0025,0.2625
0.0,-0.525,ringdown_plus_photon_geometry,2.0436438883463235,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,2.0436438883463235e-10,0.0025,0.2625
0.0,-0.525,ringdown_plus_all_shooting,2.812677454024506,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,2.812677454024506e-10,0.0025,0.2625
0.0,-0.5,orbital,0.7419868346096187,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,7.419868346096188e-11,0.0025,0.2625
0.0,-0.5,photon_geometry,0.8476617722198179,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,8.476617722198179e-11,0.0025,0.2625
0.0,-0.5,redshift,0.3634243900943276,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,3.634243900943276e-11,0.0025,0.2625
0.0,-0.5,timing,1.3428393366088358,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,1.342839336608836e-10,0.0025,0.2625
0.0,-0.5,all_shooting,1.7900753375420644,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.7900753375420646e-10,0.0025,0.2625
0.0,-0.5,ringdown_only,1.6122065416511338,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.6122065416511338e-10,0.0025,0.2625
0.0,-0.5,ringdown_plus_photon_geometry,1.8214665555605327,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.8214665555605327e-10,0.0025,0.2625
0.0,-0.5,ringdown_plus_all_shooting,2.4090619848852057,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,2.409061984885206e-10,0.0025,0.2625
0.0,-0.475,orbital,0.5469561720677742,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,5.4695617206777426e-11,0.0025,0.2625
0.0,-0.475,photon_geometry,0.626025905774348,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,6.260259057743481e-11,0.0025,0.2625
0.0,-0.475,redshift,0.27132174096231004,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,2.7132174096231005e-11,0.0025,0.2625
0.0,-0.475,timing,1.1477884824764248,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,1.1477884824764249e-10,0.0025,0.2625
0.0,-0.475,all_shooting,1.4429495405203812,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.4429495405203812e-10,0.0025,0.2625
0.0,-0.475,ringdown_only,1.5356401218551827,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.5356401218551828e-10,0.0025,0.2625
0.0,-0.475,ringdown_plus_photon_geometry,1.6583422501257068,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.6583422501257068e-10,0.0025,0.2625
0.0,-0.475,ringdown_plus_all_shooting,2.107200503117675,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,2.107200503117675e-10,0.0025,0.2625
0.0,-0.45,orbital,0.403054732870247,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,4.0305473287024705e-11,0.0025,0.2625
0.0,-0.45,photon_geometry,0.463446790657289,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,4.63446790657289e-11,0.0025,0.2625
0.0,-0.45,redshift,0.2074611882671709,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,2.074611882671709e-11,0.0025,0.2625
0.0,-0.45,timing,0.983316920363092,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,9.83316920363092e-11,0.0025,0.2625
0.0,-0.45,all_shooting,1.177789605986243,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.177789605986243e-10,0.0025,0.2625
0.0,-0.45,ringdown_only,1.4614935019123765,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.4614935019123765e-10,0.0025,0.2625
0.0,-0.45,ringdown_plus_photon_geometry,1.5332143307126513,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.5332143307126514e-10,0.0025,0.2625
0.0,-0.45,ringdown_plus_all_shooting,1.8770060234589903,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.8770060234589902e-10,0.0025,0.2625
0.00025,-0.7125,orbital,7.9394539715417025,0.04822352903980127,164.63859301937188,-0.9996825920115229,178.55636286596206,2,0.14658827998924323,central,one_sided_forward,one_sided,,18,7.939453971541703e-10,0.0025,0.2625
0.00025,-0.7125,photon_geometry,10.118841150950537,0.4502456696381589,22.47404435690091,-0.9856466100324267,170.28068380017197,2,20.75681170493021,central,one_sided_forward,one_sided,,27,1.0118841150950537e-09,0.0025,0.2625
0.00025,-0.7125,redshift,5.074153564918012,0.12928840827586544,39.24677883025044,-0.995173047635008,174.36817716003765,2,0.4303743607901428,central,one_sided_forward,one_sided,,9,5.074153564918012e-10,0.0025,0.2625
0.00025,-0.7125,timing,6.302174692677494,0.7649992498368791,8.238144931542493,-0.8735115919842945,150.8693094962435,2,23.243573257063925,central,one_sided_forward,one_sided,,17,6.302174692677494e-10,0.0025,0.2625
0.00025,-0.7125,all_shooting,15.192933155032282,0.9338543917877425,16.26906002545792,-0.9704849382485926,166.04488269160643,2,201.29898507113117,central,one_sided_forward,one_sided,,71,1.5192933155032284e-09,0.0025,0.2625
0.00025,-0.7125,ringdown_only,2.3597921911673247,0.09290228897749535,25.400797086269435,-0.7436598728375357,138.0441209339505,2,0.04806183502315244,central,one_sided_forward,one_sided,,4,2.359792191167325e-10,0.0025,0.2625
0.00025,-0.7125,ringdown_plus_photon_geometry,10.377144716514922,0.696982750500937,14.888667917615804,-0.9655648526505832,164.92029672843177,2,52.31181717560099,central,one_sided_forward,one_sided,,31,1.0377144716514921e-09,0.0025,0.2625
0.00025,-0.7125,ringdown_plus_all_shooting,15.366990669070212,1.0630849805359766,14.455091502960208,-0.961728503725587,164.09732201215627,2,266.8785196243631,central,one_sided_forward,one_sided,,75,1.5366990669070212e-09,0.0025,0.2625
0.00025,-0.69,orbital,6.44641577668105,0.03706180694771058,173.93689913112195,-0.9997676166653392,178.76476800976363,2,0.057080767622362104,central,central,central,,18,6.44641577668105e-10,0.0025,0.2625
