protocol,fold,feature_set,target,noise,realization,R2,MAE,RMSE,NMAE,NRMSE
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.005,3,-0.03407139257695868,0.028133581993423848,0.03243215217399045,0.10717555045113847,0.123551055900916
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.01,3,0.2565437362360582,0.00019796548894422097,0.00024100315476474155,0.07918619557768838,0.09640126190589661
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.01,3,-0.10392538586441069,0.029135334113409628,0.033509686710471547,0.11099174900346524,0.12765594937322494
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.0,4,0.2557467122703011,0.00020007243737035272,0.00024113230414833,0.08002897494814108,0.096452921659332
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.0,4,-0.07210919580910691,0.02845017924931316,0.033023265626101764,0.1083816352354787,0.12580291667086385
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.001,4,0.25574939529146246,0.00020007029835206034,0.00024113186950889447,0.08002811934082414,0.09645274780355778
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.001,4,-0.07754700078366206,0.02849999162142336,0.03310690773629621,0.10857139665304137,0.12612155328112842
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.005,4,0.2549992973092776,0.00020024559914469403,0.00024125335209632362,0.08009823965787762,0.09650134083852945
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.005,4,0.04716952793428353,0.027617031879156276,0.0311320935017924,0.1052077404920239,0.11859845143539961
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.01,4,0.2944796819858875,0.00020418993122806598,0.0002347738802440607,0.08167597249122639,0.09390955209762428
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.01,4,0.025198451952724743,0.027632107182102607,0.031488981400711206,0.10526517021753373,0.11995802438366174
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.0,0,-0.12012082012480074,0.00025000000000000006,0.00029581994366886436,0.10000000000000002,0.11832797746754574
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.0,0,-43.46951983613677,0.13458194504361884,0.13612114677150758,0.5126931239756908,0.5185567496057432
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.001,0,-0.12012082012480074,0.00025000000000000006,0.00029581994366886436,0.10000000000000002,0.11832797746754574
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.001,0,-43.49252434306036,0.1346175513926093,0.13615635060329898,0.5128287672099402,0.5186908594411389
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.005,0,-0.11786636034646958,0.00024999999999999995,0.0002955220963008823,0.09999999999999998,0.11820883852035292
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.005,0,-44.11391376697427,0.13557579947360052,0.13710384410939253,0.5164792360899068,0.5223003585119715
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.01,0,-0.006466406041817807,0.0002370267890214594,0.0002804107486741852,0.09481071560858376,0.11216429946967407
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.01,0,-46.71491785615226,0.1395154081337617,0.14100076515181315,0.531487269080997,0.5371457720069072
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.0,1,-0.12012082012480074,0.00025000000000000006,0.00029581994366886436,0.10000000000000002,0.11832797746754574
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.0,1,-43.46951983613677,0.13458194504361884,0.13612114677150758,0.5126931239756908,0.5185567496057432
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.001,1,-0.1206084523404698,0.00024999999999999995,0.00029588432763345075,0.09999999999999998,0.1183537310533803
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.001,1,-43.55758986266737,0.13471820877710403,0.13625587122314423,0.5132122239127772,0.519069985611978
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.005,1,-0.12059636269476814,0.00025,0.0002958827315602058,0.1,0.1183530926240823
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.005,1,-43.58948916113638,0.13476753003032102,0.1363046360808764,0.5134001144012229,0.5192557564985767
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.01,1,-0.1354205053845352,0.00024999999999999995,0.00029783338795905145,0.09999999999999998,0.11913335518362057
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.01,1,-41.86218122494998,0.13207034303883602,0.1336384756612499,0.5031251163384229,0.5090989548999996
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.0,2,-0.12012082012480074,0.00025000000000000006,0.00029581994366886436,0.10000000000000002,0.11832797746754574
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.0,2,-43.46951983613677,0.13458194504361884,0.13612114677150758,0.5126931239756908,0.5185567496057432
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.001,2,-0.1204175798590259,0.00024999999999999995,0.00029585912767140783,0.09999999999999998,0.11834365106856314
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.001,2,-43.43367963795218,0.1345264528478076,0.13606628231299653,0.5124817251345051,0.5183477421447487
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.005,2,-0.13444205475705284,0.00025,0.00029770503107588687,0.1,0.11908201243035474
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.005,2,-44.690539595891124,0.13645899810915593,0.1379772620094387,0.519843802320594,0.5256276647978616
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.01,2,-0.13375474753386318,0.00024999999999999995,0.00029761483439352126,0.09999999999999998,0.1190459337574085
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.01,2,-46.990231798709054,0.1399259205775045,0.141406965585606,0.533051126009541,0.53869320223088
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.0,3,-0.12012082012480074,0.00025000000000000006,0.00029581994366886436,0.10000000000000002,0.11832797746754574
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.0,3,-43.46951983613677,0.13458194504361884,0.13612114677150758,0.5126931239756908,0.5185567496057432
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.001,3,-0.12011452678536072,0.00025,0.00029581911264336237,0.1,0.11832764505734494
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.001,3,-43.49252434306036,0.1346175513926093,0.13615635060329898,0.5128287672099402,0.5186908594411389
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.005,3,-0.1319420999119152,0.00025,0.0002973768258550393,0.1,0.11895073034201573
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.005,3,-44.42364011551684,0.1360509097659108,0.13757367740523138,0.5182891800606125,0.5240901996389766
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.01,3,-0.1542955776148267,0.00025,0.0003002987545781007,0.1,0.12011950183124027
