protocol,direction,model,feature_set,target,metric,mean,std,median,q25,q75,n
directional_extrapolation,high_k_to_low_k,hgb,redshift,k,NRMSE,0.24138520971993369,0.010444771331586205,0.24219923169999394,0.231419549315795,0.24807926779332648,5
directional_extrapolation,high_k_to_low_k,hgb,redshift,k,joint_error_median,0.31370745002193595,0.014600067941275656,0.30619801681619224,0.30244564715430505,0.32942615942762166,5
directional_extrapolation,high_k_to_low_k,hgb,redshift,wq,R2,0.6265959919236418,0.020287056564427156,0.6184286236794474,0.6159331228154725,0.6199905626150154,5
directional_extrapolation,high_k_to_low_k,hgb,redshift,wq,MAE,0.04192480959402386,0.001369062028807263,0.04214807176405556,0.04197923933262306,0.042848996293269465,5
directional_extrapolation,high_k_to_low_k,hgb,redshift,wq,RMSE,0.052058281160024936,0.001441336553094162,0.05264066379805106,0.05253281265628614,0.05281251989898441,5
directional_extrapolation,high_k_to_low_k,hgb,redshift,wq,NMAE,0.15971356035818612,0.0052154743954562375,0.16056408291068783,0.15992091174332596,0.16323427159340748,5
directional_extrapolation,high_k_to_low_k,hgb,redshift,wq,NRMSE,0.19831726156199977,0.0054908059165491825,0.20053586208781354,0.20012500059537577,0.2011905519961311,5
directional_extrapolation,high_k_to_low_k,hgb,redshift,wq,joint_error_median,0.25665585536341073,0.016429975071016,0.24835940253685712,0.24685914643953327,0.2632197268378198,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown,k,R2,-11.279225615843968,1.8132148787418236,-10.978048988730718,-12.024389893089237,-10.489714901397745,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown,k,MAE,0.0006837829297362,5.487074579042169e-05,0.0006763273673775,0.0006611137982412,0.0007078250105396,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown,k,RMSE,0.0007137383026645495,5.2583694831351426e-05,0.0007064597472824949,0.0006919090409089715,0.0007366701515685643,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown,k,NMAE,0.27351317189448,0.021948298316168673,0.270530946951,0.26444551929647997,0.28313000421584,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown,k,NRMSE,0.28549532106581976,0.021033477932540554,0.28258389891299796,0.2767636163635886,0.2946680606274257,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown,k,joint_error_median,0.4117861742216987,0.016636116421918663,0.4121878464754263,0.4071263226054666,0.4185085594286192,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown,wq,R2,-0.15687791111447735,0.08749743148837641,-0.19217153185102687,-0.2059808048581182,-0.09956973845739348,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown,wq,MAE,0.0781062741034126,0.0018018785457400545,0.07872835830431947,0.07675587592831895,0.07908807330491478,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown,wq,RMSE,0.0916061589176194,0.003493862861296645,0.09304709877891705,0.08936034818910189,0.09358444314171846,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown,wq,NMAE,0.29754771087014326,0.006864299221866876,0.2999175554450265,0.2924033368697865,0.30128789830443725,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown,wq,NRMSE,0.34897584349569294,0.013309953757320551,0.35446513820539827,0.3404203740537215,0.35651216434940364,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown,wq,joint_error_median,0.3724930865877202,0.016917543090832488,0.376984153887228,0.35536633432867204,0.3824756143487525,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_all_shooting,k,R2,-8.69212822052495,1.034896239052862,-8.87731871082735,-9.499399256858725,-7.8252158802112355,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_all_shooting,k,MAE,0.0005958905232999272,3.3474543399737396e-05,0.0006033298376880032,0.000567266769711106,0.0006247814462264727,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_all_shooting,k,RMSE,0.0006347498420040794,3.411953126514395e-05,0.0006415254837373749,0.0006063970055517546,0.0006614189058650956,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_all_shooting,k,NMAE,0.23835620931997092,0.013389817359894963,0.24133193507520126,0.2269067078844424,0.24991257849058907,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_all_shooting,k,NRMSE,0.25389993680163175,0.013647812506057585,0.25661019349494996,0.24255880222070186,0.26456756234603823,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_all_shooting,k,joint_error_median,0.31325348392739005,0.01844455796634325,0.3062077455874844,0.3045576804600497,0.3312534062390773,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_all_shooting,wq,R2,0.653509023341853,0.06763660127236006,0.6285444981744307,0.6275775415901911,0.6873830362861018,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_all_shooting,wq,MAE,0.03947066182199301,0.00409116885153258,0.03903686292328063,0.03636457071705383,0.04247947315011349,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_all_shooting,wq,RMSE,0.049961181680698394,0.005019920605913378,0.05193819594266785,0.047647457699236805,0.05200575361627056,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_all_shooting,wq,NMAE,0.15036442598854477,0.015585405148695544,0.14871185875535478,0.1385316979697289,0.1618265643813847,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_all_shooting,wq,NRMSE,0.19032831116456533,0.01912350707014621,0.1978597940673061,0.18151412456852115,0.19811715663341165,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_all_shooting,wq,joint_error_median,0.2525758669780306,0.021470012999971193,0.25158192500446364,0.23985136386163347,0.2651956095170855,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_photon_geometry,k,R2,-11.044841452273122,1.0433679439227246,-11.560815345581075,-11.603156850483002,-10.712831196726313,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_photon_geometry,k,MAE,0.0006697145166226951,3.210564227670441e-05,0.000685078297394318,0.0006552512652575243,0.0006933235150620637,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_photon_geometry,k,RMSE,0.0007078743482939493,3.1271010379621505e-05,0.0007234412941392537,0.0006985947560617168,0.000724659599699605,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_photon_geometry,k,NMAE,0.2678858066490781,0.012842256910681764,0.2740313189577272,0.2621005061030097,0.2773294060248255,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_photon_geometry,k,NRMSE,0.28314973931757975,0.0125084041518486,0.28937651765570144,0.2794379024246867,0.289863839879842,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_photon_geometry,k,joint_error_median,0.3693213440728017,0.02611024340964736,0.3841904750023343,0.3559246127912758,0.3870845336616249,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_photon_geometry,wq,R2,0.5375652963714608,0.06915034031208865,0.5377287661757069,0.5154615897818567,0.5957134537596844,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_photon_geometry,wq,MAE,0.05032957353969023,0.0036576477841108544,0.050459552200878104,0.048008744640956606,0.051215031564466544,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_photon_geometry,wq,RMSE,0.057824311894662764,0.004276734217050604,0.05794045446514066,0.05418487894313376,0.05931951176140056,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_photon_geometry,wq,NMAE,0.19173170872262943,0.013933896320422298,0.19222686552715468,0.1828904557750728,0.19510488215034874,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_photon_geometry,wq,NRMSE,0.2202830929320486,0.016292320826859448,0.22072554081958345,0.20641858645003336,0.22597909242438308,5
directional_extrapolation,high_k_to_low_k,hgb,ringdown_plus_photon_geometry,wq,joint_error_median,0.286794493700334,0.017107487287501673,0.2908946196364207,0.289326194367449,0.29747160837250375,5
directional_extrapolation,high_k_to_low_k,hgb,timing,k,R2,-10.24914691307431,0.9863122703347829,-9.758637256566915,-10.840314215580971,-9.643512058691066,5
directional_extrapolation,high_k_to_low_k,hgb,timing,k,MAE,0.0006442662807582834,3.1149961499433047e-05,0.000630204350375794,0.0006255970189089282,0.0006664684271695203,5
directional_extrapolation,high_k_to_low_k,hgb,timing,k,RMSE,0.0006841114150704561,2.9707458695746898e-05,0.0006695345789105705,0.0006659426920630091,0.0007023862368022363,5
directional_extrapolation,high_k_to_low_k,hgb,timing,k,NMAE,0.2577065123033134,0.012459984599773212,0.2520817401503176,0.2502388075635713,0.2665873708678081,5
directional_extrapolation,high_k_to_low_k,hgb,timing,k,NRMSE,0.2736445660281825,0.011882983478298768,0.26781383156422817,0.2663770768252036,0.2809544947208945,5
directional_extrapolation,high_k_to_low_k,hgb,timing,k,joint_error_median,0.3726735227300807,0.018959177813952767,0.37870750543850507,0.3630027590212977,0.3832413540332949,5
directional_extrapolation,high_k_to_low_k,hgb,timing,wq,R2,0.3746382524289289,0.14006154119121472,0.3711379243083731,0.26258104120221015,0.44004153710701643,5
directional_extrapolation,high_k_to_low_k,hgb,timing,wq,MAE,0.05670931205687566,0.00718703527567951,0.056475775570130754,0.05453115716117643,0.06308575407021914,5
directional_extrapolation,high_k_to_low_k,hgb,timing,wq,RMSE,0.06703170564594588,0.007765238350017616,0.06757890729433011,0.06376925880450247,0.07317969790133388,5
directional_extrapolation,high_k_to_low_k,hgb,timing,wq,NMAE,0.21603547450238345,0.02737918200258861,0.21514581169573618,0.20773774156638639,0.24032668217226338,5
directional_extrapolation,high_k_to_low_k,hgb,timing,wq,NRMSE,0.25535887865122237,0.0295818603810195,0.2574434563593528,0.24293050973143798,0.278779801528891,5
directional_extrapolation,high_k_to_low_k,hgb,timing,wq,joint_error_median,0.28299895516951923,0.017999021857035447,0.27836819020472225,0.2749103634445368,0.2809320145458398,5
directional_extrapolation,high_k_to_low_k,mlp,all_shooting,k,R2,-4.246076658066843,10.241591526887607,0.2481972779322359,0.12998463349661094,0.312352671420025,5
directional_extrapolation,high_k_to_low_k,mlp,all_shooting,k,MAE,0.00030849919090249255,0.00037396348993778354,0.00015046391513158134,0.00014322277135076617,0.00016521057032200967,5
directional_extrapolation,high_k_to_low_k,mlp,all_shooting,k,RMSE,0.00032990664458472607,0.0003703851597970331,0.00017698902061848403,0.0001692689340197002,0.00019039600907312776,5
directional_extrapolation,high_k_to_low_k,mlp,all_shooting,k,NMAE,0.12339967636099698,0.14958539597511342,0.06018556605263253,0.057289108540306465,0.06608422812880387,5
directional_extrapolation,high_k_to_low_k,mlp,all_shooting,k,NRMSE,0.13196265783389044,0.14815406391881322,0.07079560824739362,0.06770757360788009,0.0761584036292511,5
directional_extrapolation,high_k_to_low_k,mlp,all_shooting,k,joint_error_median,0.21855706100900862,0.12473429279190408,0.17411854731134074,0.1589825059025404,0.18446448847816374,5
directional_extrapolation,high_k_to_low_k,mlp,all_shooting,wq,R2,0.7159310305024394,0.08738951408155636,0.7228288801712446,0.65872755596952,0.7926454140557856,5
directional_extrapolation,high_k_to_low_k,mlp,all_shooting,wq,MAE,0.03805770223414747,0.00603345130483135,0.037544058300048574,0.03228561332236839,0.04250233048709724,5
directional_extrapolation,high_k_to_low_k,mlp,all_shooting,wq,RMSE,0.04498920185078055,0.006975968502552529,0.04486497716626199,0.03880523208965271,0.04978334501868475,5
directional_extrapolation,high_k_to_low_k,mlp,all_shooting,wq,NMAE,0.14498172279675228,0.02298457639935752,0.14302498400018504,0.12299281265664147,0.16191363995084662,5
directional_extrapolation,high_k_to_low_k,mlp,all_shooting,wq,NRMSE,0.17138743562202113,0.026575118104962017,0.1709141987286171,0.14782945557962937,0.1896508381664181,5
directional_extrapolation,high_k_to_low_k,mlp,all_shooting,wq,joint_error_median,0.17949212494144756,0.11100943759551023,0.13883464994792372,0.12094124640035345,0.15547396754698936,5
directional_extrapolation,high_k_to_low_k,mlp,orbital,k,R2,-34.398290314288104,21.19845669751043,-37.15782693632818,-45.64692208440388,-33.11436095384661,5
directional_extrapolation,high_k_to_low_k,mlp,orbital,k,MAE,0.0011029742733829153,0.0005336121780272992,0.001243915546590577,0.0011802803152339482,0.0013812953615600484,5
directional_extrapolation,high_k_to_low_k,mlp,orbital,k,RMSE,0.0011172962098119966,0.0005321864600812913,0.0012609161176225566,0.0011922381081018486,0.0013941383552276397,5
directional_extrapolation,high_k_to_low_k,mlp,orbital,k,NMAE,0.44118970935316615,0.2134448712109197,0.4975662186362308,0.4721121260935793,0.5525181446240194,5
directional_extrapolation,high_k_to_low_k,mlp,orbital,k,NRMSE,0.4469184839247986,0.21287458403251655,0.5043664470490227,0.47689524324073945,0.5576553420910558,5
directional_extrapolation,high_k_to_low_k,mlp,orbital,k,joint_error_median,0.5792590041440873,0.13709043472085694,0.6001997508768091,0.591427242386659,0.6449247342356642,5
