protocol,direction,model,feature_set,target,target_coverage,empirical_coverage,average_width,median_width,n
directional_extrapolation,high_wq_to_low_wq,hgb,ringdown,k,0.9,0.9454545454545454,0.0007670735426464799,0.0007644164837459,165
directional_extrapolation,high_wq_to_low_wq,hgb,ringdown,wq,0.9,0.4066666666666667,0.22871559669587285,0.2323470734176878,150
directional_extrapolation,high_wq_to_low_wq,hgb,ringdown_plus_all_shooting,k,0.9,0.9151515151515152,0.0007756600297589999,0.0009008051876881,165
directional_extrapolation,high_wq_to_low_wq,hgb,ringdown_plus_all_shooting,wq,0.9,0.6133333333333333,0.17816147634125806,0.2203544281413572,150
directional_extrapolation,high_wq_to_low_wq,hgb,ringdown_plus_photon_geometry,k,0.9,0.9393939393939394,0.00078305152430892,0.0007995853137228,165
directional_extrapolation,high_wq_to_low_wq,hgb,ringdown_plus_photon_geometry,wq,0.9,0.76,0.2127743225253004,0.2695950434207426,150
directional_extrapolation,high_wq_to_low_wq,hgb,timing,k,0.9,0.6484848484848484,0.000898680459630912,0.0009974791590270284,165
directional_extrapolation,high_wq_to_low_wq,hgb,timing,wq,0.9,0.76,0.19338359167666203,0.23465262775885964,150
directional_extrapolation,high_wq_to_low_wq,mlp,all_shooting,k,0.9,0.37575757575757573,0.00047961409588883,0.0003548321282708907,165
directional_extrapolation,high_wq_to_low_wq,mlp,all_shooting,wq,0.9,0.52,0.22868043587339534,0.269999824749072,150
directional_extrapolation,high_wq_to_low_wq,mlp,orbital,k,0.9,0.48484848484848486,0.002253284404556173,0.0019487513317776785,165
directional_extrapolation,high_wq_to_low_wq,mlp,orbital,wq,0.9,0.44666666666666666,0.6040650426944982,0.23634869763563793,150
directional_extrapolation,high_wq_to_low_wq,mlp,photon_geometry,k,0.9,0.49696969696969695,0.0011626019311010399,0.0006577668563925018,165
directional_extrapolation,high_wq_to_low_wq,mlp,photon_geometry,wq,0.9,0.7533333333333333,0.2174295371439191,0.2364945164536556,150
directional_extrapolation,high_wq_to_low_wq,mlp,redshift,k,0.9,0.30303030303030304,0.00038948724225914655,0.0004100194973263131,165
directional_extrapolation,high_wq_to_low_wq,mlp,redshift,wq,0.9,0.4,0.1893822290623977,0.2349408684406935,150
directional_extrapolation,high_wq_to_low_wq,mlp,ringdown,k,0.9,0.7090909090909091,0.0005166777890320701,0.0005288324362260058,165
directional_extrapolation,high_wq_to_low_wq,mlp,ringdown,wq,0.9,0.56,0.2067685102420329,0.21640274780740187,150
directional_extrapolation,high_wq_to_low_wq,mlp,ringdown_plus_all_shooting,k,0.9,0.36363636363636365,0.0013740755568565452,0.0004673410872836829,165
directional_extrapolation,high_wq_to_low_wq,mlp,ringdown_plus_all_shooting,wq,0.9,0.42,0.3594990079928662,0.20268917342028403,150
directional_extrapolation,high_wq_to_low_wq,mlp,ringdown_plus_photon_geometry,k,0.9,0.30303030303030304,0.0002463175491812288,0.00024804478291640553,165
directional_extrapolation,high_wq_to_low_wq,mlp,ringdown_plus_photon_geometry,wq,0.9,0.6,0.16550376626605967,0.2291665453206766,150
directional_extrapolation,high_wq_to_low_wq,mlp,timing,k,0.9,0.37575757575757573,0.00048117921344490876,0.000345055086554919,165
directional_extrapolation,high_wq_to_low_wq,mlp,timing,wq,0.9,0.6466666666666666,0.1816962015254999,0.24841605736563088,150
directional_extrapolation,high_wq_to_low_wq,random_forest,all_shooting,k,0.9,0.5515151515151515,0.0006644632936507942,0.0006404513888888883,165
directional_extrapolation,high_wq_to_low_wq,random_forest,all_shooting,wq,0.9,0.6466666666666666,0.1600763505013505,0.1901902111777104,150
directional_extrapolation,high_wq_to_low_wq,random_forest,orbital,k,0.9,0.6424242424242425,0.002280955327080327,0.002314523809523808,165
directional_extrapolation,high_wq_to_low_wq,random_forest,orbital,wq,0.9,0.72,0.19900890683390698,0.19596087014837082,150
directional_extrapolation,high_wq_to_low_wq,random_forest,photon_geometry,k,0.9,0.5272727272727272,0.0011137896825396823,0.001073563161375662,165
directional_extrapolation,high_wq_to_low_wq,random_forest,photon_geometry,wq,0.9,0.66,0.17060062974062948,0.19464018759018797,150
directional_extrapolation,high_wq_to_low_wq,random_forest,redshift,k,0.9,0.42424242424242425,0.0009954381613756615,0.0009804365079365087,165
directional_extrapolation,high_wq_to_low_wq,random_forest,redshift,wq,0.9,0.68,0.1657610780885781,0.19322285006659945,150
directional_extrapolation,high_wq_to_low_wq,random_forest,ringdown,k,0.9,0.8909090909090909,0.00047904662698412657,0.0004997222222222195,165
directional_extrapolation,high_wq_to_low_wq,random_forest,ringdown,wq,0.9,0.82,0.23841457481845643,0.2394357448107447,150
directional_extrapolation,high_wq_to_low_wq,random_forest,ringdown_plus_all_shooting,k,0.9,0.9090909090909091,0.00044567261904761887,0.0004436111111111125,165
directional_extrapolation,high_wq_to_low_wq,random_forest,ringdown_plus_all_shooting,wq,0.9,0.64,0.15992172165797205,0.19015701104451166,150
directional_extrapolation,high_wq_to_low_wq,random_forest,ringdown_plus_photon_geometry,k,0.9,0.8909090909090909,0.00047143154761904784,0.00047760416666666784,165
directional_extrapolation,high_wq_to_low_wq,random_forest,ringdown_plus_photon_geometry,wq,0.9,0.66,0.17016660857660826,0.19464018759018775,150
directional_extrapolation,high_wq_to_low_wq,random_forest,timing,k,0.9,0.5818181818181818,0.0006102328042328056,0.0006058862433862429,165
directional_extrapolation,high_wq_to_low_wq,random_forest,timing,wq,0.9,0.7533333333333333,0.17786621380933873,0.1958374488936988,150
directional_extrapolation,low_k_to_high_k,hgb,all_shooting,k,0.9,0.30303030303030304,0.0012305077647826199,0.0008985081122991,165
directional_extrapolation,low_k_to_high_k,hgb,all_shooting,wq,0.9,0.9515151515151515,0.23579498984076058,0.2626137206546429,165
directional_extrapolation,low_k_to_high_k,hgb,orbital,k,0.9,0.43636363636363634,0.0021287999318151105,0.0017733132491799398,165
directional_extrapolation,low_k_to_high_k,hgb,orbital,wq,0.9,0.9878787878787879,0.2906491516382529,0.3134220020854188,165
directional_extrapolation,low_k_to_high_k,hgb,photon_geometry,k,0.9,0.296969696969697,0.0013305255054004402,0.001349612593223,165
