protocol,direction,model,feature_set,fold,seed,target,R2,MAE,RMSE,NMAE,NRMSE,n_scored,joint_error_median
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_g8,2026,k,0.06656412622129382,0.0001726514978300128,0.00019721349195084522,0.06906059913200512,0.07888539678033808,9,0.10647955232332255
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_g8,2026,wq,-0.9673664021456394,0.023105384021670863,0.0286310321311338,0.08802051055874614,0.10907059859479543,9,0.10647955232332255
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_g8,2027,k,0.17085193246350916,0.00016661492978807174,0.00018587048218411063,0.0666459719152287,0.07434819287364425,9,0.24781455542689163
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_g8,2027,wq,-9.45902344102851,0.06298870395406087,0.0660145925819578,0.23995696744404138,0.25148416221698205,9,0.24781455542689163
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_g8,2028,k,0.6994407670296298,9.38606546313315e-05,0.00011190755726833388,0.037544261852532596,0.04476302290733355,9,0.05376866004653615
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_g8,2028,wq,0.7488842809813792,0.009308457450790255,0.01022895642727507,0.03546079028872478,0.03896745305628598,9,0.05376866004653615
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_g8,2029,k,-0.250952788444879,0.00021412502222432236,0.00022830469301324044,0.08565000888972894,0.09132187720529618,9,0.08779590024284147
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_g8,2029,wq,0.7302801636437599,0.00892126354584944,0.010601097355860538,0.03398576588895025,0.040385132784230615,9,0.08779590024284147
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_g8,2030,k,0.29676050699877965,0.00015652570441728982,0.0001711772342974308,0.06261028176691592,0.06847089371897232,9,0.06933446145950016
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_g8,2030,wq,0.8383382344406725,0.007576227216257867,0.008207257092540304,0.028861817966696634,0.03126574130491545,9,0.06933446145950016
