k,wq,initial_apocentre_phi,initial_apocentre_radius,next_pericentre_phi,next_pericentre_radius,next_apocentre_phi,next_apocentre_radius
0.00175,-0.69,3.141592653589793,12.0,10.039404163127777,8.000000000000032,16.937215672665758,12.0
0.00175,-0.6666666666666666,3.141592653589793,12.0,9.446859077386614,8.00000000000002,15.752125501183437,12.000000000000009
0.00175,-0.64,3.141592653589793,12.0,9.051036300376213,8.000000000000048,14.960479947162643,11.999999999999968
0.00175,-0.61,3.141592653589793,12.0,8.78224825697093,8.000000000000053,14.42290386035208,11.99999999999999
0.00175,-0.58,3.141592653589793,12.0,8.614213365827046,7.999999999999983,14.086834078064305,11.999999999999993
0.00175,-0.55,3.141592653589793,12.0,8.504866586473582,8.000000000000014,13.868140519357361,12.000000000000014
0.00175,-0.525,3.141592653589793,12.0,8.442308846484675,8.00000000000004,13.743025039379544,12.00000000000001
0.00175,-0.5,3.141592653589793,12.0,8.397379850228946,7.999999999999991,13.65316704686811,11.999999999999988
0.00175,-0.475,3.141592653589793,12.0,8.365005235981627,8.000000000000028,13.588417818373461,11.999999999999964
0.00175,-0.45,3.141592653589793,12.0,8.341688537781252,7.999999999999974,13.541784421972721,11.999999999999998
0.002,-0.7125,3.141592653589793,12.0,12.300839625311298,8.000000000000073,21.46008659703282,12.00000000000012
0.002,-0.69,3.141592653589793,12.0,10.532697168290204,8.000000000000108,17.923801682990646,11.999999999999964
0.002,-0.6666666666666666,3.141592653589793,12.0,9.710934918173912,8.000000000000018,16.280277182758038,11.999999999999995
0.002,-0.64,3.141592653589793,12.0,9.201065908029328,8.000000000000059,15.260539162468879,11.999999999999975
0.002,-0.61,3.141592653589793,12.0,8.869881857539307,8.000000000000046,14.598171061488827,12.00000000000001
0.002,-0.58,3.141592653589793,12.0,8.668422540037252,8.00000000000002,14.195252426484702,11.999999999999979
0.002,-0.55,3.141592653589793,12.0,8.53949489839288,8.000000000000032,13.937397143195945,12.000000000000009
0.002,-0.525,3.141592653589793,12.0,8.46647786386581,8.000000000000046,13.79136307414184,12.000000000000016
0.002,-0.5,3.141592653589793,12.0,8.414364032603077,7.999999999999985,13.687135411616378,12.000000000000021
0.002,-0.475,3.141592653589793,12.0,8.376979708159004,8.000000000000004,13.612366762728215,11.999999999999982
0.002,-0.45,3.141592653589793,12.0,8.350141110404179,7.999999999999993,13.558689567218572,11.999999999999975
0.00225,-0.7125,3.141592653589793,12.0,14.406407853813663,8.0000000000001,25.67122305403739,11.999999999999968
0.00225,-0.69,3.141592653589793,12.0,11.175229268127431,7.99999999999999,19.208865882665076,11.999999999999964
0.00225,-0.6666666666666666,3.141592653589793,12.0,10.019324218982854,8.000000000000007,16.897055784375887,12.000000000000007
0.00225,-0.64,3.141592653589793,12.0,9.366078454829347,8.000000000000021,15.59056425606888,11.999999999999993
0.00225,-0.61,3.141592653589793,12.0,8.96282689638626,8.000000000000016,14.784061139182732,12.000000000000032
0.00225,-0.58,3.141592653589793,12.0,8.724708355348268,7.999999999999981,14.30782405710675,12.000000000000005
0.00225,-0.55,3.141592653589793,12.0,8.57497487667499,8.000000000000028,14.008357099760206,11.999999999999975
0.00225,-0.525,3.141592653589793,12.0,8.491058123423867,8.000000000000005,13.840523593257926,12.000000000000016
0.00225,-0.5,3.141592653589793,12.0,8.4315469114284,8.00000000000001,13.721501169266999,11.999999999999975
0.00225,-0.475,3.141592653589793,12.0,8.389049409001156,8.000000000000016,13.636506164412493,11.999999999999988
0.00225,-0.45,3.141592653589793,12.0,8.358638704564687,8.000000000000023,13.575684755539598,12.000000000000005
0.0025,-0.7125,3.141592653589793,12.0,23.110349653769426,8.000000000000046,43.07910665395406,12.000000000000107
0.0025,-0.69,3.141592653589793,12.0,12.061855808641841,8.00000000000001,20.982118963693917,11.999999999999996
0.0025,-0.6666666666666666,3.141592653589793,12.0,10.385726169188283,8.000000000000014,17.62985968478674,12.0
0.0025,-0.64,3.141592653589793,12.0,9.548679921029938,8.00000000000003,15.955767188470102,12.0
0.0025,-0.61,3.141592653589793,12.0,9.061628460769178,8.00000000000002,14.98166426794856,11.999999999999982
0.0025,-0.58,3.141592653589793,12.0,8.783203842077938,8.000000000000057,14.424815030566085,11.999999999999982
0.0025,-0.55,3.141592653589793,12.0,8.611341410518651,8.000000000000007,14.081090167447497,11.999999999999984
0.0025,-0.525,3.141592653589793,12.0,8.516061290071356,8.000000000000027,13.89052992655292,12.0
0.0025,-0.5,3.141592653589793,12.0,8.448932373836898,8.000000000000018,13.756272094084025,11.999999999999979
0.0025,-0.475,3.141592653589793,12.0,8.401215609540305,8.000000000000004,13.660838565490822,11.999999999999996
0.0025,-0.45,3.141592653589793,12.0,8.367181723323146,8.00000000000004,13.592770793056491,12.0
