k,wq,observable_set,sigma_max_81,sigma_min_81,condition_number_81,cosine_similarity_81,sensitivity_angle_deg_81,numerical_rank_81,gram_determinant_81,derivative_scheme_k_81,derivative_scheme_wq_81,derivative_quality_81,missing_features_81,feature_count_81,rank_tolerance_81,parameter_k_scale_81,parameter_wq_scale_81,sigma_max_161,sigma_min_161,condition_number_161,cosine_similarity_161,sensitivity_angle_deg_161,numerical_rank_161,gram_determinant_161,derivative_scheme_k_161,derivative_scheme_wq_161,derivative_quality_161,missing_features_161,feature_count_161,rank_tolerance_161,parameter_k_scale_161,parameter_wq_scale_161,absolute_change_sigma_min,absolute_change_sigma_max,absolute_change_condition_number,absolute_change_cosine_similarity,absolute_change_numerical_rank
0.001,-0.525,photon_geometry,1.8141894588997445,0.1843175413753432,9.842739032663957,-0.9779918577871276,167.95715610915497,2,0.1118146260795848,central,central,central,,27,1.8141894588997444e-10,0.0025,0.2625,1.8145721621450046,0.18436789943044465,9.842126355784496,-0.9779892571899452,167.9564419761716,2,0.11192293832194816,central,central,central,,27,1.8145721621450048e-10,0.0025,0.2625,5.0358055101451527e-05,0.0003827032452601298,0.0006126768794612047,2.6005971823783725e-06,0
0.001,-0.525,redshift,0.8293209540747011,0.1218130374095618,6.808146087732333,-0.9528319073664284,162.33214547823246,2,0.0102054655780581,central,central,central,,9,8.293209540747009e-11,0.0025,0.2625,0.8294607238605781,0.12194133394054348,6.802129327738936,-0.9527575513641839,162.31811362109477,2,0.01023042170197104,central,central,central,,9,8.294607238605781e-11,0.0025,0.2625,0.00012829653098167526,0.00013976978587704192,0.006016759993396903,7.435600224448002e-05,0
0.001,-0.525,timing,1.9155127910675345,0.4636577430569747,4.131307671987167,-0.8807651790247896,151.73480469595555,2,0.7887968116655422,central,central,central,,17,1.9155127910675344e-10,0.0025,0.2625,1.914817696433277,0.46440812069396814,4.123135688437042,-0.8802644449514755,151.67427972475696,2,0.7907778126280299,central,central,central,,17,1.914817696433277e-10,0.0025,0.2625,0.0007503776369934267,0.0006950946342574316,0.008171983550124828,0.0005007340733140797,0
0.001,-0.525,all_shooting,3.1521651934972064,0.6701007713471163,4.704016661793045,-0.9130929965728084,155.93634256952794,2,4.461677487680755,central,central,central,,71,3.1521651934972063e-10,0.0025,0.2625,3.151983792403611,0.6710189816686549,4.697309433133206,-0.912857923998341,155.9033322958174,2,4.473398239697777,central,central,central,,71,3.1519837924036114e-10,0.0025,0.2625,0.0009182103215386039,0.00018140109359521261,0.006707228659838194,0.00023507257446742091,0
0.001,-0.525,ringdown_only,1.7246040080004514,0.1717402925423222,10.041930070518855,-0.8869183152262664,152.48852217785586,2,0.0877249599922082,central,central,central,,4,1.7246040080004515e-10,0.0025,0.2625,1.7246040080004514,0.17174029254232226,10.041930070518857,-0.8869183152262664,152.48852217785586,2,0.08772495999220821,central,central,central,,4,1.7246040080004515e-10,0.0025,0.2625,5.551115123125783e-17,0.0,1.7763568394002505e-15,0.0,0
0.001,-0.525,ringdown_plus_photon_geometry,2.342772020978749,0.9167493218183976,2.5555208661968747,-0.7051818484052215,134.84423717924017,2,4.612764175810698,central,central,central,,31,2.3427720209787487e-10,0.0025,0.2625,2.3430377816817556,0.9168376737883163,2.555564467590505,-0.7052175171868722,134.84711961284935,2,4.614700123329659,central,central,central,,31,2.3430377816817554e-10,0.0025,0.2625,8.835196991863192e-05,0.00026576070300654564,4.3601393630243734e-05,3.566878165073284e-05,0
0.001,-0.525,ringdown_plus_all_shooting,3.4766262812097564,1.1410538392865794,3.04685560094469,-0.8005115435122017,143.17897896360708,2,15.737229955275772,central,central,central,,75,3.4766262812097564e-10,0.0025,0.2625,3.476503942982848,1.1414650008883949,3.0456509312831384,-0.8003577495961663,143.16427851656798,2,15.747465020639211,central,central,central,,75,3.476503942982848e-10,0.0025,0.2625,0.00041116160181542405,0.0001223382269084361,0.0012046696615515273,0.00015379391603531634,0
0.001,-0.5,orbital,1.1829244464022133,0.0592606385853764,19.96138540927096,-0.9946299151304624,174.05950347158915,2,0.004914130305241,central,central,central,,18,1.182924446402213e-10,0.0025,0.2625,1.183007733185638,0.05914654944873982,20.001297526424732,-0.9946511060360342,174.0712464519352,2,0.004895916405633074,central,central,central,,18,1.183007733185638e-10,0.0025,0.2625,0.00011408913663657483,8.32867834246187e-05,0.039912117153772186,2.1190905571844e-05,0
0.001,-0.5,photon_geometry,1.360595073630972,0.150734589087661,9.026429049006834,-0.973765325835721,166.8468572954773,2,0.042061391003439,central,central,central,,27,1.3605950736309719e-10,0.0025,0.2625,1.3608989766504085,0.15077199062894597,9.026205537072324,-0.9737641538408792,166.84656220312664,2,0.04210106797020576,central,central,central,,27,1.3608989766504086e-10,0.0025,0.2625,3.740154128498152e-05,0.0003039030194365022,0.00022351193451086715,1.1719948417310277e-06,0
0.001,-0.5,redshift,0.606118822708252,0.1099441509172558,5.512970154859972,-0.929050253608366,158.2872476199365,2,0.0044407855512625,central,central,central,,9,6.06118822708252e-11,0.0025,0.2625,0.6062458878208158,0.11005629024215152,5.508507387328088,-0.9289542248671145,158.27238021394157,2,0.0044517149782873746,central,central,central,,9,6.062458878208158e-11,0.0025,0.2625,0.00011213932489571865,0.0001270651125637734,0.0044627675318844595,9.602874125147487e-05,0
0.001,-0.5,timing,1.6252425310182983,0.3698298446547917,4.39456835219813,-0.8920272432389496,153.12910522687133,2,0.3612769617063008,central,central,central,,17,1.6252425310182983e-10,0.0025,0.2625,1.625015994665625,0.3703228401406831,4.388106318390442,-0.891663650160261,153.08305061178692,2,0.3621398164193942,central,central,central,,17,1.6250159946656252e-10,0.0025,0.2625,0.0004929954858914343,0.00022653635267322336,0.006462033807688172,0.0003635930786886066,0
0.001,-0.5,all_shooting,2.474618898823256,0.557385313490508,4.439691608174023,-0.9033405260364618,154.6006990394686,2,1.902513264245247,central,central,central,,71,2.4746188988232553e-10,0.0025,0.2625,2.4746189023931615,0.5581286313960313,4.433778815832235,-0.903096832402982,154.56816583961782,2,1.9075909605185224,central,central,central,,71,2.4746189023931616e-10,0.0025,0.2625,0.0007433179055232886,3.5699057043814264e-09,0.005912792341788098,0.00024369363347975792,0
0.001,-0.5,ringdown_only,1.6452149819183788,0.1547797055504235,10.629397284790718,-0.9001405098161935,154.1765427752965,2,0.0648445295324811,central,central,central,,4,1.6452149819183788e-10,0.0025,0.2625,1.6452149819183788,0.15477970555042353,10.629397284790718,-0.9001405098161935,154.1765427752965,2,0.06484452953248111,central,central,central,,4,1.6452149819183788e-10,0.0025,0.2625,2.7755575615628914e-17,0.0,0.0,0.0,0
0.001,-0.5,ringdown_plus_photon_geometry,2.0032631980086464,0.7691329691408592,2.6045733031654352,-0.6734953998225034,132.33741807627916,2,2.373989977902761,central,central,central,,31,2.0032631980086463e-10,0.0025,0.2625,2.003433015158632,0.7692356372124892,2.6044464377892766,-0.6735182054033231,132.3391857941823,2,2.3750264185507084,central,central,central,,31,2.003433015158632e-10,0.0025,0.2625,0.0001026680716300632,0.00016981714998554054,0.0001268653761585803,2.2805580819684756e-05,0
0.001,-0.5,ringdown_plus_all_shooting,2.8630850990815384,0.9837936224149636,2.910249704662032,-0.7729193049331136,140.61676857100403,2,7.9337136056668145,central,central,central,,75,2.8630850990815384e-10,0.0025,0.2625,2.863145637847433,0.9840388364895605,2.9095860159964406,-0.7728003586770754,140.60602894294325,2,7.938004792576151,central,central,central,,75,2.863145637847433e-10,0.0025,0.2625,0.00024521407459687783,6.053876589451335e-05,0.000663688665591522,0.0001189462560381438,0
0.001,-0.475,orbital,0.8826258350894994,0.0542590148292106,16.26689754444882,-0.9918899023095782,172.6979529891122,2,0.0022934912047236,central,central,central,,18,8.826258350894995e-11,0.0025,0.2625,0.882786326049004,0.054281720700900496,16.263049782693408,-0.9918861461345534,172.69625992784955,2,0.0022962459707379194,central,central,central,,18,8.82786326049004e-11,0.0025,0.2625,2.2705871689898682e-05,0.0001604909595045445,0.003847761755412904,3.756175024793862e-06,0
0.001,-0.475,photon_geometry,1.0137267115871764,0.1259069537086447,8.05139574683852,-0.9670518474854368,165.25132972718274,2,0.0162907550384397,central,central,central,,27,1.0137267115871764e-10,0.0025,0.2625,1.0139627922561185,0.1259348252923876,8.051488457636426,-0.9670526858960233,165.25151842143222,2,0.016305560246128364,central,central,central,,27,1.0139627922561186e-10,0.0025,0.2625,2.7871583742899997e-05,0.00023608066894209578,9.271079790629244e-05,8.384105865122393e-07,0
0.001,-0.475,redshift,0.4418514805369297,0.0998077435855159,4.427026046915371,-0.8934230273019029,153.3065855959952,2,0.0019448275758574,central,central,central,,9,4.4185148053692974e-11,0.0025,0.2625,0.44197195707606984,0.09990393701122813,4.423969367957911,-0.8933122745285341,153.29246297539567,2,0.0019496409373422983,central,central,central,,9,4.4197195707606985e-11,0.0025,0.2625,9.619342571222378e-05,0.00012047653914015743,0.0030566789574599795,0.00011075277336880518,0
0.001,-0.475,timing,1.383245176961894,0.2942484532795907,4.70094289891663,-0.9034232032419318,154.61174532185922,2,0.1656634519307759,central,central,central,,17,1.3832451769618939e-10,0.0025,0.2625,1.3833647153078297,0.29455496339521847,4.696456985013365,-0.903185519655872,154.58000112535484,2,0.1660374591416054,central,central,central,,17,1.3833647153078298e-10,0.0025,0.2625,0.0003065101156277672,0.0001195383459355881,0.0044859139032658035,0.00023768358605980033,0
0.001,-0.475,all_shooting,1.954372552185876,0.4593891899857489,4.254285026268259,-0.8952475137153355,153.54023986972345,2,0.8060764853887007,central,central,central,,71,1.954372552185876e-10,0.0025,0.2625,1.9545977096168596,0.45996379206910315,4.249459942975704,-0.8950203239663422,153.51104046794208,2,0.808280427675331,central,central,central,,71,1.9545977096168597e-10,0.0025,0.2625,0.0005746020833542476,0.00022515743098372454,0.004825083292555377,0.00022718974899327282,0
