k,wq,feature,feature_group,value_81,value_161,difference,absolute_difference,normalized_difference,convergence_classification
0.002,-0.6666666666666666,timing__excess_time_delay__sin1,timing,-0.903547580194291,-0.9036857439730147,-0.0001381637787236656,0.0001381637787236656,0.0024158152361542975,converged
0.002,-0.64,timing__excess_time_delay__sin1,timing,-0.9055606483534372,-0.9056965206948892,-0.00013587234145195914,0.00013587234145195914,0.0023757490978015537,converged
0.002,-0.61,timing__excess_time_delay__sin1,timing,-0.8991093267125333,-0.899240898639494,-0.00013157192696067188,0.00013157192696067188,0.0023005556791950094,converged
0.002,-0.58,timing__excess_time_delay__sin1,timing,-0.8905968862914868,-0.8907243243600688,-0.00012743806858195317,0.00012743806858195317,0.00222827452021349,converged
0.002,-0.55,timing__excess_time_delay__sin1,timing,-0.8824863887099699,-0.8826103818253342,-0.00012399311536437363,0.00012399311536437363,0.0021680389755016406,converged
0.002,-0.525,timing__excess_time_delay__sin1,timing,-0.876569878199672,-0.8766915599854133,-0.00012168178574123445,0.00012168178574123445,0.0021276250162792156,converged
0.002,-0.5,timing__excess_time_delay__sin1,timing,-0.8714993727207486,-0.8716191943279334,-0.00011982160718482238,0.00011982160718482238,0.002095099503876028,converged
0.002,-0.475,timing__excess_time_delay__sin1,timing,-0.8672227249985973,-0.8673410656072975,-0.00011834060870019592,0.00011834060870019592,0.002069204014211998,converged
0.002,-0.45,timing__excess_time_delay__sin1,timing,-0.8636463995092635,-0.8637635685770961,-0.00011716906783265646,0.00011716906783265646,0.002048719439284152,converged
0.00225,-0.7125,timing__excess_time_delay__sin1,timing,-0.7309297752695699,-0.7310139087151237,-8.413344555380231e-05,8.413344555380231e-05,0.00147108642740255,converged
0.00225,-0.69,timing__excess_time_delay__sin1,timing,-0.8637641493370344,-0.8638937890959216,-0.00012963975888724555,0.00012963975888724555,0.0022667714188504082,converged
0.00225,-0.6666666666666666,timing__excess_time_delay__sin1,timing,-0.9015927377619696,-0.901731231316571,-0.00013849355460138213,0.00013849355460138213,0.0024215814188489468,converged
0.00225,-0.64,timing__excess_time_delay__sin1,timing,-0.9095413484948502,-0.9096791100364964,-0.00013776154164613086,0.00013776154164613086,0.0024087820580707847,converged
0.00225,-0.61,timing__excess_time_delay__sin1,timing,-0.9045280884863032,-0.9046616922688678,-0.00013360378256466188,0.00013360378256466188,0.0023360829915711565,converged
0.00225,-0.58,timing__excess_time_delay__sin1,timing,-0.895766835677841,-0.8958960177741327,-0.0001291820962917578,0.0001291820962917578,0.002258769116934444,converged
0.00225,-0.55,timing__excess_time_delay__sin1,timing,-0.8869553771690275,-0.8870807641650271,-0.00012538699599962122,0.00012538699599962122,0.002192411195971569,converged
0.00225,-0.525,timing__excess_time_delay__sin1,timing,-0.8804082346928069,-0.880531046788949,-0.00012281209614206645,0.00012281209614206645,0.0021473886700612605,converged
0.00225,-0.5,timing__excess_time_delay__sin1,timing,-0.8747532694604521,-0.8748739991079546,-0.00012072964750253767,0.00012072964750253767,0.0021109767305619487,converged
0.00225,-0.475,timing__excess_time_delay__sin1,timing,-0.8699637103902029,-0.8700827777199268,-0.00011906732972388756,0.00011906732972388756,0.002081910844740854,converged
0.00225,-0.45,timing__excess_time_delay__sin1,timing,-0.8659492367762259,-0.8660669872319724,-0.00011775045574646814,0.00011775045574646814,0.002058885097702567,converged
0.0025,-0.7125,timing__excess_time_delay__sin1,timing,-0.5739266067385543,-0.5739353321485909,-8.725410036602987e-06,8.725410036602987e-06,0.00015256515638789906,converged
0.0025,-0.69,timing__excess_time_delay__sin1,timing,-0.8315192261959191,-0.831638582448529,-0.00011935625260983684,0.00011935625260983684,0.0020869627064979495,converged
0.0025,-0.6666666666666666,timing__excess_time_delay__sin1,timing,-0.8957558992952406,-0.8958933879353838,-0.00013748864014317963,0.00013748864014317963,0.002404010332696093,converged
0.0025,-0.64,timing__excess_time_delay__sin1,timing,-0.9122624354128356,-0.9124016840053508,-0.0001392485925152398,0.0001392485925152398,0.002434783374622172,converged
0.0025,-0.61,timing__excess_time_delay__sin1,timing,-0.9095346515095732,-0.9096701653035674,-0.00013551379399412422,0.00013551379399412422,0.0023694798395377478,converged
0.0025,-0.58,timing__excess_time_delay__sin1,timing,-0.9007920038555026,-0.9009228909012751,-0.00013088704577246535,0.00013088704577246535,0.0022885804247201446,converged
0.0025,-0.55,timing__excess_time_delay__sin1,timing,-0.8913727041190718,-0.8914994726354747,-0.00012676851640291975,0.00012676851640291975,0.0022165672958566317,converged
