k,wq,point_id,feature,observable_family,value_81,value_161,value_321,absolute_change_81_161,absolute_change_161_321,normalized_change_81_161,normalized_change_161_321,estimated_convergence_ratio,behavior,final_convergence_class
0.00125,-0.58,k0p001250000_wqm0p580000000,orbital__r_emit__mean,orbital,9.500673693629784,9.500650526814225,9.500644735082732,2.3166815559250153e-05,5.791731492621466e-06,3.514551103279426e-05,8.786419633389533e-06,0.2500011914804975,monotonic,converged
0.00125,-0.45,k0p001250000_wqm0p450000000,orbital__r_emit__mean,orbital,9.453540219937794,9.45351028280539,9.453502798494444,2.993713240506679e-05,7.484310945216066e-06,4.5416505973449926e-05,1.1354168734378612e-05,0.25000093008071017,monotonic,converged
0.0015,-0.7125,k0p001500000_wqm0p712500000,orbital__r_emit__mean,orbital,10.052106234272104,10.05212023255261,10.052123732129624,1.399828050629992e-05,3.4995770139545357e-06,2.123626877919671e-05,5.309077643385585e-06,0.25000049201611246,monotonic,converged
0.0015,-0.61,k0p001500000_wqm0p610000000,orbital__r_emit__mean,orbital,9.5514853490728,9.551468141342967,9.551463839387717,1.7207729833046415e-05,4.30195525069621e-06,2.6105204539222848e-05,6.526335712357377e-06,0.250001324546284,monotonic,converged
0.0015,-0.5,k0p001500000_wqm0p500000000,orbital__r_emit__mean,orbital,9.467018811858352,9.46699100167874,9.466984049105122,2.7810179611620356e-05,6.9525736190456655e-06,4.218978529286607e-05,1.054748988740137e-05,0.25000103257659523,monotonic,converged
0.00175,-0.7125,k0p001750000_wqm0p712500000,orbital__r_emit__mean,orbital,10.28153714890273,10.281558961431717,10.281564414560505,2.18125289865867e-05,5.453128787635819e-06,3.30909734309656e-05,8.272738110205162e-06,0.2499998414209165,monotonic,converged
0.00175,-0.45,k0p001750000_wqm0p450000000,orbital__r_emit__mean,orbital,9.457434016582404,9.457404736843069,9.457397416879983,2.9279739335308363e-05,7.319963085450354e-06,4.44191994887936e-05,1.1104842731681377e-05,0.2500009648864336,monotonic,converged
0.002,-0.7125,k0p002000000_wqm0p712500000,orbital__r_emit__mean,orbital,10.600000515157824,10.60002991089991,10.60003725980388,2.939574208582485e-05,7.348903970694209e-06,4.459518293104463e-05,1.114874786827796e-05,0.24999892668938545,monotonic,converged
0.002,-0.69,k0p002000000_wqm0p690000000,orbital__r_emit__mean,orbital,10.103290580732184,10.103306574794578,10.103310573316037,1.5994062394497632e-05,3.998521458825621e-06,2.426399497623533e-05,6.066007634351323e-06,0.25000036639854645,monotonic,converged
0.002,-0.45,k0p002000000_wqm0p450000000,orbital__r_emit__mean,orbital,9.459408440952542,9.459379489395364,9.459372251477593,2.8951557178302778e-05,7.237917770908098e-06,4.3921326589935016e-05,1.0980374847864579e-05,0.25000098358551937,monotonic,converged
0.00225,-0.7125,k0p002250000_wqm0p712500000,orbital__r_emit__mean,orbital,11.076870357297857,11.076904546414646,11.07691309362264,3.418911678920722e-05,8.547207993814254e-06,5.18670327496433e-05,1.2966650167257994e-05,0.2499979173639381,monotonic,converged
0.00225,-0.69,k0p002250000_wqm0p690000000,orbital__r_emit__mean,orbital,10.290116529053376,10.290138598989552,10.290144116469987,2.2069936175483917e-05,5.51748043520206e-06,3.348147626784322e-05,8.370363592383905e-06,0.2499998364893813,monotonic,converged
0.00225,-0.6666666666666666,k0p002250000_wqm0p666666667,orbital__r_emit__mean,orbital,9.946298805459367,9.946308438659408,9.946310846967108,9.633200040326528e-06,2.4083077008185683e-06,1.4614168159301755e-05,3.6535537071553377e-06,0.2500007983574413,monotonic,converged
0.00225,-0.55,k0p002250000_wqm0p550000000,orbital__r_emit__mean,orbital,9.516835633010256,9.516814593661255,9.516809333797305,2.10393490007732e-05,5.259863950612953e-06,3.191801093846223e-05,7.979543240825444e-06,0.2500012690706187,monotonic,converged
0.00225,-0.475,k0p002250000_wqm0p475000000,orbital__r_emit__mean,orbital,9.46885467284262,9.468827191358969,9.468820320959054,2.74814836505044e-05,6.870399914760128e-06,4.169113292097273e-05,1.0422827228298022e-05,0.2500010553336347,monotonic,converged
0.00225,-0.45,k0p002250000_wqm0p450000000,orbital__r_emit__mean,orbital,9.46140135700304,9.4613727332804,9.461365577321171,2.862372264011981e-05,7.1559592296210894e-06,4.342398105061509e-05,1.085603860451394e-05,0.25000099810885873,monotonic,converged
0.0025,-0.7125,k0p002500000_wqm0p712500000,orbital__r_emit__mean,orbital,11.919696255577168,11.91970344385632,11.919705240939727,7.1882791523592005e-06,1.7970834065295094e-06,1.0905069952748497e-05,2.72628814821361e-06,0.25000189453406313,monotonic,converged
0.0025,-0.69,k0p002500000_wqm0p690000000,orbital__r_emit__mean,orbital,10.531441672642773,10.531469663368055,10.531476661025415,2.799072528247848e-05,6.9976573602303915e-06,4.2463684390082905e-05,1.0615884748108705e-05,0.24999914398826803,monotonic,converged
0.0025,-0.6666666666666666,k0p002500000_wqm0p666666667,orbital__r_emit__mean,orbital,10.056393249438017,10.056407523910474,10.056411092535926,1.4274472457387333e-05,3.5686254520328475e-06,2.1655269277529584e-05,5.4138284511119216e-06,0.2500005140425355,monotonic,converged
0.0025,-0.58,k0p002500000_wqm0p580000000,orbital__r_emit__mean,orbital,9.574001752721962,9.573986989313331,9.573983298441066,1.476340863071357e-05,3.6908722655937254e-06,2.2397016093358497e-05,5.599284528307317e-06,0.2500013620103484,monotonic,converged
0.0025,-0.45,k0p002500000_wqm0p450000000,orbital__r_emit__mean,orbital,9.463412871685769,9.46338457544656,9.463377501358064,2.8296239209524288e-05,7.0740884954290095e-06,4.29271681635087e-05,1.0731835570029047e-05,0.2500010140233734,monotonic,converged
0.0,-0.7125,k0p000000000_wqm0p712500000,orbital__r_emit__amplitude,orbital,1.999847331227552,1.999999461081737,1.999999461081737,0.00015212985418511238,0.0,0.002112262029443132,0.0,0.0,monotonic,converged
0.0,-0.69,k0p000000000_wqm0p690000000,orbital__r_emit__amplitude,orbital,1.999847331227552,1.999999461081737,1.999999461081737,0.00015212985418511238,0.0,0.002112262029443132,0.0,0.0,monotonic,converged
0.0,-0.6666666666666666,k0p000000000_wqm0p666666667,orbital__r_emit__amplitude,orbital,1.999847331227552,1.999999461081737,1.999999461081737,0.00015212985418511238,0.0,0.002112262029443132,0.0,0.0,monotonic,converged
0.0,-0.58,k0p000000000_wqm0p580000000,orbital__r_emit__amplitude,orbital,1.999847331227552,1.999999461081737,1.999999461081737,0.00015212985418511238,0.0,0.002112262029443132,0.0,0.0,monotonic,converged
0.0,-0.45,k0p000000000_wqm0p450000000,orbital__r_emit__amplitude,orbital,1.999847331227552,1.999999461081737,1.999999461081737,0.00015212985418511238,0.0,0.002112262029443132,0.0,0.0,monotonic,converged
0.00025,-0.58,k0p000250000_wqm0p580000000,orbital__r_emit__amplitude,orbital,1.999999858534454,1.999999858534454,1.999999858534454,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0005,-0.7125,k0p000500000_wqm0p712500000,orbital__r_emit__amplitude,orbital,1.99999532758408,1.99999532758408,1.99999532758408,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0005,-0.61,k0p000500000_wqm0p610000000,orbital__r_emit__amplitude,orbital,1.9999971933980163,1.9999971933980163,1.9999971933980163,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0005,-0.55,k0p000500000_wqm0p550000000,orbital__r_emit__amplitude,orbital,1.999964063908254,1.999964063908254,1.9999997708007404,0.0,3.57068924863313e-05,0.0,0.000495775885622763,35706892.4863313,monotonic,converged
0.0005,-0.5,k0p000500000_wqm0p500000000,orbital__r_emit__amplitude,orbital,1.9999892165096915,1.9999892165096915,1.9999896162679347,0.0,3.997582431747304e-07,0.0,5.5504829248532255e-06,399758.2431747304,monotonic,converged
0.0005,-0.475,k0p000500000_wqm0p475000000,orbital__r_emit__amplitude,orbital,1.9999614726470627,1.9999614726470627,1.9999999041446117,0.0,3.843149754900743e-05,0.0,0.0005336059344974336,38431497.54900743,monotonic,converged
0.00075,-0.475,k0p000750000_wqm0p475000000,orbital__r_emit__amplitude,orbital,1.9999943375773568,1.9999943375773568,1.9999943375773568,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.001,-0.58,k0p001000000_wqm0p580000000,orbital__r_emit__amplitude,orbital,1.999960683832871,1.999960683832871,1.9999999955502488,0.0,3.931171737781014e-05,0.0,0.0005458274338993889,39311717.37781014,monotonic,converged
0.00125,-0.7125,k0p001250000_wqm0p712500000,orbital__r_emit__amplitude,orbital,1.990726664123562,1.990726664123562,1.990726664123562,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00125,-0.58,k0p001250000_wqm0p580000000,orbital__r_emit__amplitude,orbital,1.9999124230289684,1.9999897116869756,1.9999905422311888,7.728865800715745e-05,8.305442131817387e-07,0.0010731220278203015,1.1531773396317298e-05,0.010746003806985815,monotonic,converged
0.00125,-0.45,k0p001250000_wqm0p450000000,orbital__r_emit__amplitude,orbital,1.9999999899131096,1.9999999899131096,1.9999999899131096,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0015,-0.7125,k0p001500000_wqm0p712500000,orbital__r_emit__amplitude,orbital,1.9472024228120324,1.9472024228120324,1.9472024228120324,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0015,-0.61,k0p001500000_wqm0p610000000,orbital__r_emit__amplitude,orbital,1.9999672103699817,1.9999672103699817,1.999999869671484,0.0,3.2659301502313554e-05,0.0,0.000453461306730306,32659301.502313554,monotonic,converged
