Index,point_id,k,wq,target,model,feature_set,protocol,direction,seed,fold,prediction_161,prediction_321,absolute_shift,normalized_shift,error_161,error_321,local_condition_number,training_distance,most_changed_feature,most_changed_feature_class,exact_rank_loss,scored,model_path,maximum_standardized_input,maximum_hidden_activation,iteration_count,reached_iteration_limit,numerical_overflow,already_catastrophic_at_161,materially_worsened_at_321,failure_class
2920,k0.00225000_wq-0.69000000,0.00225,-0.69,k,mlp,orbital,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,0.0319779725819932,0.0319978469760558,1.987439406254954e-05,0.0079497576250198,11.891189032797309,11.899138790422327,56.31487640026889,0.1904761904761902,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\83697b2d7598f249_k.joblib,1167.2303748554723,329.63780874279405,554,False,False,True,False,extrapolation instability
2922,k0.00250000_wq-0.71250000,0.0025,-0.7125,k,mlp,orbital,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,0.4040876733724347,0.4040892456065759,1.5722341412671703e-06,0.0006288936565068,160.63506934897387,160.63569824263038,45.12966596324817,0.2761904761904762,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\83697b2d7598f249_k.joblib,13845.386433902107,3975.8444586266396,554,False,False,True,False,extrapolation instability
2923,k0.00250000_wq-0.69000000,0.0025,-0.69,k,mlp,orbital,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,0.062691550218089,0.0627101321761009,1.8581958011923416e-05,0.0074327832047693,24.076620087235614,24.084052870440384,42.05143905137742,0.1904761904761902,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\83697b2d7598f249_k.joblib,2243.824960799348,639.5222460705295,554,False,False,True,False,extrapolation instability
2931,k0.00175000_wq-0.71250000,0.00175,-0.7125,wq,mlp,orbital,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,-2.091065140463653,-2.0912276908427025,0.0001625503790489,0.0006192395392342,5.251676725575823,5.252295965115057,15.60707272998631,0.2761904761904762,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\83697b2d7598f249_wq.joblib,1123.818103551123,343.10949703776146,50,False,False,True,False,extrapolation instability
2932,k0.00200000_wq-0.71250000,0.002,-0.7125,wq,mlp,orbital,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,-4.006149149558359,-4.006304977681582,0.0001558281232227,0.0005936309456106,12.547234855460417,12.547828486406026,19.69842440167895,0.2937365812055454,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\83697b2d7598f249_wq.joblib,2581.411887026685,773.1998072673016,50,False,False,True,False,extrapolation instability
2934,k0.00225000_wq-0.71250000,0.00225,-0.7125,wq,mlp,orbital,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,-8.069299336248765,-8.069396271797057,9.693554829226514e-05,0.0003692782792086,28.025902233328623,28.026271511607835,14.175522045757733,0.2761904761904762,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\83697b2d7598f249_wq.joblib,5616.839325856593,1665.846988477455,50,False,False,True,False,extrapolation instability
2935,k0.00225000_wq-0.69000000,0.00225,-0.69,wq,mlp,orbital,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,-2.147600631747451,-2.1477629656582917,0.0001623339108403,0.0006184148984392,5.552764311418861,5.5533827263173,56.31487640026889,0.1904761904761902,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\83697b2d7598f249_wq.joblib,1167.2303748554723,355.93810133204926,50,False,False,True,False,extrapolation instability
2937,k0.00250000_wq-0.71250000,0.0025,-0.7125,wq,mlp,orbital,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,-19.161674040358616,-19.161686708713205,1.2668354589351338e-05,4.826039843562414e-05,70.28256777279474,70.28261603319316,45.12966596324817,0.2761904761904762,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\83697b2d7598f249_wq.joblib,13845.386433902107,4089.728232775087,50,False,False,True,False,extrapolation instability
2938,k0.00250000_wq-0.69000000,0.0025,-0.69,wq,mlp,orbital,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,-3.562843110885217,-3.563000955326637,0.00015784444142,0.0006013121577908,10.944164231943684,10.944765544101475,42.05143905137742,0.1904761904761902,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\83697b2d7598f249_wq.joblib,2243.824960799348,673.7420622392552,50,False,False,True,False,extrapolation instability
2967,k0.00250000_wq-0.71250000,0.0025,-0.7125,wq,mlp,photon_geometry,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,1.058044800920626,1.0580591240352095,1.4323114583714158e-05,5.45642460331968e-05,6.744932574935717,6.744987139181751,29.21901383015693,0.2761904761904762,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\4b8dcab128c4875d_wq.joblib,171.54418297717038,143.51869653338937,45,False,False,True,False,extrapolation instability
2997,k0.00250000_wq-0.71250000,0.0025,-0.7125,wq,mlp,redshift,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,-2.488839297768125,-2.488821962183069,1.7335585055899827e-05,6.604032402247553e-05,6.767006848640476,6.766940808316453,26.36857918931336,0.2761904761904762,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\2b8c565a95c8c02f_wq.joblib,68.85683538986721,58.815635910540486,600,True,False,True,False,extrapolation instability
3035,k0.00150000_wq-0.71250000,0.0015,-0.7125,k,mlp,ringdown_plus_all_shooting,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,0.0334563108781433,0.0334529763299326,3.3345482107552398e-06,0.001333819284302,12.782524351257344,12.781190531973044,6.374430154834679,0.2761904761904762,orbital__r_emit__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\bdf47ebf0deed862_k.joblib,392.4316896373407,107.36109417797975,123,False,False,True,False,extrapolation instability
