method,base_model,protocol,direction,feature_set,target,n,median_shift,p95_shift,max_shift,nmae_161,nmae_321,coverage_161,coverage_321,median_interval_width,catastrophic_rate_161,catastrophic_rate_321,absolute_nmae_change
extra_trees_smoother,extra_trees,directional_extrapolation,high_wq_to_low_wq,photon_geometry,k,75,8.673617379884035e-17,0.015264880952380946,0.015598214285714281,0.16653213263588273,0.16941066438191446,0.7066666666666667,0.7066666666666667,0.5213958333333331,0.0,0.0,0.002878531746031726
extra_trees_smoother,extra_trees,directional_extrapolation,high_wq_to_low_wq,photon_geometry,wq,60,0.0,0.0006966269841268054,0.003299319727891563,0.3023581585411953,0.3022840561224501,0.6333333333333333,0.6333333333333333,0.7602142857142767,0.0,0.0,7.41024187452255e-05
extra_trees_smoother,extra_trees,directional_extrapolation,high_wq_to_low_wq,ringdown,k,75,0.0,1.734723475976807e-16,1.734723475976807e-16,0.05593945401579598,0.055939454015795996,0.9066666666666666,0.9066666666666666,0.22770825008222756,0.0,0.0,1.3877787807814457e-17
extra_trees_smoother,extra_trees,directional_extrapolation,high_wq_to_low_wq,ringdown,wq,60,0.0,4.440892098500614e-16,8.458842092382145e-16,0.397663803157191,0.39766380315719096,0.7,0.7,0.8738439446485659,0.0,0.0,5.551115123125783e-17
extra_trees_smoother,extra_trees,directional_extrapolation,high_wq_to_low_wq,ringdown_plus_all_shooting,k,75,1.734723475976807e-16,0.012500000000000006,0.013839285714285722,0.05140172799422788,0.05391767045454536,0.7733333333333333,0.7733333333333333,0.1592529761904736,0.0,0.0,0.0025159424603174788
extra_trees_smoother,extra_trees,directional_extrapolation,high_wq_to_low_wq,ringdown_plus_all_shooting,wq,60,0.0,4.2294210461910723e-16,0.0011190476190475486,0.2766701081821611,0.27665145738851027,0.5833333333333334,0.5833333333333334,0.7289166666666583,0.0,0.0,1.8650793650820674e-05
extra_trees_smoother,extra_trees,directional_extrapolation,high_wq_to_low_wq,ringdown_plus_photon_geometry,k,75,1.734723475976807e-16,0.008857142857142859,0.009828869047619046,0.04773820256132747,0.04926784541847034,0.8933333333333333,0.9066666666666666,0.1537916666666669,0.0,0.0,0.0015296428571428683
extra_trees_smoother,extra_trees,directional_extrapolation,high_wq_to_low_wq,ringdown_plus_photon_geometry,wq,60,0.0,0.00017916666666669315,0.0025000000000000946,0.31474523022171863,0.3147124921264805,0.5833333333333334,0.5833333333333334,0.7544940476190383,0.0,0.0,3.273809523812732e-05
extra_trees_smoother,extra_trees,directional_extrapolation,low_k_to_high_k,all_shooting,k,70,0.00025520833333335727,0.002629315476190422,0.0035357142857144266,0.38124028414541816,0.38112186461851655,0.2571428571428571,0.2571428571428571,0.26485119047619105,0.0,0.0,0.00011841952690161417
extra_trees_smoother,extra_trees,directional_extrapolation,low_k_to_high_k,all_shooting,wq,70,4.2294210461910723e-16,0.07490164399092884,0.09122519841269766,0.0907903673219575,0.10725239638322102,0.9714285714285714,0.9714285714285714,1.0453994079113018,0.0,0.0,0.016462029061263525
extra_trees_smoother,extra_trees,directional_extrapolation,low_k_to_high_k,photon_geometry,k,70,8.673617379884035e-17,0.0030970238095237223,0.021816124847374822,0.3565405476868781,0.35612846069153214,0.12857142857142856,0.14285714285714285,0.42148489010989076,0.0,0.0,0.0004120869953459505
extra_trees_smoother,extra_trees,directional_extrapolation,low_k_to_high_k,photon_geometry,wq,70,4.2294210461910723e-16,0.086918083900225,0.09162599206349066,0.10166239448939489,0.1220213907730933,1.0,1.0,1.0068906956544692,0.0,0.0,0.020358996283698416
extra_trees_smoother,extra_trees,directional_extrapolation,low_k_to_high_k,ringdown,k,70,0.0,1.734723475976807e-16,1.734723475976807e-16,0.22820676622360112,0.22820676622360112,0.0,0.0,0.16371567365188952,0.0,0.0,0.0
extra_trees_smoother,extra_trees,directional_extrapolation,low_k_to_high_k,ringdown,wq,70,0.0,4.2294210461910723e-16,8.458842092382145e-16,0.25405245107464786,0.25405245107464786,0.9,0.9,1.095420956633755,0.0,0.0,0.0
extra_trees_smoother,extra_trees,directional_extrapolation,low_k_to_high_k,ringdown_plus_all_shooting,k,70,0.0,0.00034218750000002487,0.0009375000000000702,0.2390330193120374,0.239045710638568,0.0,0.0,0.14146428571428643,0.0,0.0,1.2691326530589464e-05
extra_trees_smoother,extra_trees,directional_extrapolation,low_k_to_high_k,ringdown_plus_all_shooting,wq,70,6.344131569286608e-16,0.07638378684807114,0.08837159863945504,0.09068589269133483,0.10828413802121271,0.9714285714285714,0.9714285714285714,1.0502527399848725,0.0,0.0,0.017598245329877887
extra_trees_smoother,extra_trees,directional_extrapolation,low_k_to_high_k,ringdown_plus_photon_geometry,k,70,0.0,1.734723475976807e-16,0.0004166666666666208,0.22798047309833047,0.22798828559833048,0.0,0.0,0.13104761904761916,0.0,0.0,7.812500000009548e-06
extra_trees_smoother,extra_trees,directional_extrapolation,low_k_to_high_k,ringdown_plus_photon_geometry,wq,70,4.2294210461910723e-16,0.08571447704081535,0.09762159863945505,0.10151235033154685,0.12087603675849835,0.9857142857142858,0.9857142857142858,1.029168713781795,0.0,0.0,0.019363686426951507
extra_trees_smoother,extra_trees,directional_extrapolation,low_wq_to_high_wq,all_shooting,k,55,0.00872916666666652,0.01834456845238089,0.023005952380952474,0.29430962301587305,0.28720150285320745,0.34545454545454546,0.36363636363636365,0.37507738095237714,0.0,0.0,0.007108120162665599
extra_trees_smoother,extra_trees,directional_extrapolation,low_wq_to_high_wq,all_shooting,wq,50,0.0009570191713049155,0.00620634566326496,0.011672207477267145,0.2623226172724994,0.26207653522183405,0.64,0.64,0.7738489229024863,0.0,0.0,0.0002460820506653416
extra_trees_smoother,extra_trees,directional_extrapolation,low_wq_to_high_wq,photon_geometry,k,55,0.012148133116882988,0.023673363095238046,0.024990327380952592,0.32343680381122064,0.31310119037163,0.4727272727272727,0.4727272727272727,0.6591572420634939,0.0,0.0,0.010335613439590663
extra_trees_smoother,extra_trees,directional_extrapolation,low_wq_to_high_wq,photon_geometry,wq,50,0.007799461451247028,0.017000101568405396,0.02440698009001665,0.31693450777617577,0.3093946422988398,0.64,0.66,0.7565388321995322,0.0,0.0,0.007539865477335983
extra_trees_smoother,extra_trees,directional_extrapolation,low_wq_to_high_wq,ringdown,k,55,0.0,1.734723475976807e-16,1.734723475976807e-16,0.09672995670884088,0.0967299567088409,0.4,0.4,0.16785255161887638,0.0,0.0,1.3877787807814457e-17
extra_trees_smoother,extra_trees,directional_extrapolation,low_wq_to_high_wq,ringdown,wq,50,4.2294210461910723e-16,6.55560262159615e-16,8.458842092382145e-16,0.4502585260311464,0.4502585260311463,0.42,0.42,0.8792564301879748,0.0,0.0,1.1102230246251565e-16
extra_trees_smoother,extra_trees,directional_extrapolation,low_wq_to_high_wq,ringdown_plus_all_shooting,k,55,0.004062500000000008,0.008293750000000004,0.01114583333333332,0.11631910173160183,0.1136131911648958,0.2727272727272727,0.2909090909090909,0.15172966269841273,0.0,0.0,0.002705910566706035
extra_trees_smoother,extra_trees,directional_extrapolation,low_wq_to_high_wq,ringdown_plus_all_shooting,wq,50,0.0012604520975056403,0.004927763605442377,0.008073270975056971,0.2601490039424875,0.2605544390045595,0.64,0.64,0.7636021825396736,0.0,0.0,0.0004054350620719682
extra_trees_smoother,extra_trees,directional_extrapolation,low_wq_to_high_wq,ringdown_plus_photon_geometry,k,55,0.0007500000000000562,0.00658125,0.009895833333333336,0.10486116030434223,0.10470830586711281,0.32727272727272727,0.32727272727272727,0.12717857142857159,0.0,0.0,0.00015285443722941328
