phi,x_hit,y_hit,z_hit,hit_error,impact_parameter,impact_parameter_drift,alpha_sky,beta_sky,propagation_time,euclidean_distance,excess_time_delay,one_plus_z,redshift,null_constraint_error,r_emit,p_r_emit,t_emit,tau_emit,arrival_time_relative,toa_from_redshift
3.9269908169872414,-1.4846261719991816e-09,5.827248128476015e-10,-80.0,1.5948928108475553e-09,9.893687491671372,2.0037305148434825e-12,-0.035942081265531424,0.11219072254102365,80.6113375875283,72.7492637010108,7.862073886517493,1.192195037419806,0.19219503741980604,2.0875939865661053e-12,11.70675271169815,-0.023408884846284318,35.02800932594997,30.30941580753398,33.05242405132698,33.05319498380486
4.005530633326986,-1.5961177241008428e-09,1.0397628313896234e-09,-80.0,1.904914311649797e-09,10.062025563473286,1.8882673202824662e-12,-0.02532209163790553,0.11713462941003942,80.93405340927092,73.0512268751027,7.882826534168217,1.2116131373585928,0.21161313735859277,1.9939189188633577e-12,11.648355249661456,-0.025566593478666966,38.41314905368845,33.22787734724907,36.560220016652906,36.5609058372766
4.084070449666731,-1.4385640664804633e-09,7.142904046020249e-10,-79.99999999999999,1.6061374024271183e-09,10.249093496244011,1.7603696278456482e-12,-0.014683042839706084,0.1212153003814134,81.30840224541073,73.40169705122413,7.9067051941866,1.2304300919952769,0.23043009199527686,1.5340159698062905e-12,11.585594524188386,-0.02767286274792557,41.76666466376408,36.11612772858183,40.086945286612945,40.0875219814828
4.162610266006476,-1.3029643123989298e-09,7.516066657942133e-10,-80.0,1.5042036362977953e-09,10.44657539856478,1.779909553079051e-12,-0.0041099771971269995,0.12442228027864853,81.73068331050459,73.79676624734216,7.933917063162426,1.248538660490783,0.2485386604907831,1.3158502065735433e-12,11.518760183225941,-0.029723435528397932,45.08652724552191,38.97223743296835,43.62717931432027,43.62762533690599
4.241150082346221,-1.142567000213257e-09,7.246506728009194e-10,-79.99999999999999,1.352988524551168e-09,10.646650614885406,1.241673430740775e-12,0.006317251037795238,0.12675512059309105,82.1968985844734,74.23220532649081,7.964693257982589,1.265842606200015,0.265842606200015,9.25370891025068e-13,11.448152578128676,-0.031714169668623,48.37089478738769,41.794457153829924,47.17539717055432,47.175693535215835
4.319689898685965,-9.926716948438497e-10,6.550194830978739e-10,-80.0,1.189305518772181e-09,10.842284192575805,1.7053025658242404e-12,0.016524994005306153,0.12822263272688328,82.70282310191544,74.70354014798768,7.999282953927761,1.2822570886089701,0.28225708860897014,9.572828640891373e-13,11.374080023052153,-0.033641049140617225,51.61811556617518,44.58122095968181,50.72603924700694,50.72616953681379
4.39822971502571,-8.449162029744439e-10,6.907630717423174e-10,-79.99999999999999,1.0913464213216782e-09,11.027396195473052,9.663381206337363e-13,0.026446593265049435,0.1288419647031749,83.2440735532748,75.20612591489508,8.03794763837972,1.2977087111721137,0.2977087111721137,6.52367049269742e-13,11.29685612115477,-0.03550019519803516,54.826729534208056,47.331147514125234,54.27357746831231,54.27352776800073
4.476769531365456,-7.385765332657002e-10,6.326750234819656e-10,-80.0,9.725086019304331e-10,11.196934587796763,1.2025935802739696e-12,0.036022925091617836,0.12863754567790842,83.81617341589327,75.73521782041709,8.080955595476183,1.312135262872463,0.31213526287246296,6.333128466096127e-13,11.216797194115737,-0.037287877442227696,57.99546782106549,50.04303946785997,57.81257643754273,57.812335204858016
4.5553093477052,-6.54980572382946e-10,5.860499655008233e-10,-80.0,8.788936865529345e-10,11.346877969018735,5.861977570020827e-13,0.04520271501096978,0.1276399416979476,84.41461317463886,76.28603651008223,8.128576664556633,1.3254851967837606,0.32548519678376064,5.830128047001892e-13,11.134219846622589,-0.039000524688753986,61.123250492578634,52.71588116296702,61.33774828750808,61.33730617507631
4.633849164044944,-5.949532810856084e-10,5.761813803850657e-10,-80.0,8.28223635123371e-10,11.474191310800215,1.0054179711005418e-12,0.053942635856182704,0.12588466297351042,85.03490453762453,76.85382729865815,8.181077238966381,1.33771688920887,0.33771688920887,3.982925100842749e-13,11.049438692255046,-0.0406347355234709,64.20918272979713,55.34883480920294,64.84400035636534,64.84334999656501
