feature,reference_value,production_value,absolute_difference
photon_geometry__alpha_sky__sin3,-0.007218466245642214,-0.0072184662455888,5.341387054880187e-14
photon_geometry__beta_sky__mean,0.005862499013729702,0.0058624990137704,4.069834746989187e-14
photon_geometry__beta_sky__amplitude,0.11983261232095478,0.1198326123198934,1.0613870893294575e-12
photon_geometry__beta_sky__reference,0.024951675065205202,0.024951675065205,2.0122792321330962e-16
photon_geometry__beta_sky__cos1,0.028822437427696985,0.028822437427634,6.298433996576591e-14
photon_geometry__beta_sky__sin1,0.11570328945267186,0.1157032894526109,6.096512183972891e-14
photon_geometry__beta_sky__cos2,-0.005694594863297958,-0.0056945948633554,5.744189846002001e-14
photon_geometry__beta_sky__sin2,-0.001655665282641133,-0.0016556652825568,8.433293126330899e-14
photon_geometry__beta_sky__cos3,-0.004368020097909683,-0.0043680200978332,7.648309069407944e-14
photon_geometry__beta_sky__sin3,0.004289531825369715,0.0042895318253325,3.721502273013044e-14
redshift__redshift__mean,0.12913402836092946,0.1291340283608829,4.657385588302532e-14
redshift__redshift__amplitude,0.26858877335725906,0.2685887733576799,4.208300374841656e-13
redshift__redshift__reference,-0.006155614154209399,-0.0061556141542105,1.1006820455072841e-15
redshift__redshift__cos1,-0.12908545409246353,-0.1290854540926077,1.4416245974757658e-13
redshift__redshift__sin1,0.23734399210396956,0.2373439921036799,2.8965718712470334e-13
redshift__redshift__cos2,0.024020544039245237,0.0240205440394098,1.6456280782506383e-13
redshift__redshift__sin2,-0.016966690269103996,-0.0169666902686315,4.724970414926588e-13
redshift__redshift__cos3,-0.008144350710138795,-0.0081443507104158,2.770058488144045e-13
redshift__redshift__sin3,-0.005524418895891861,-0.0055244188958909,9.610368056911511e-16
timing__excess_time_delay__mean,9.19368686787133,9.193686867873454,2.1245227799226996e-12
timing__excess_time_delay__amplitude,1.5227812927423514,1.5227812927141215,2.822986289174878e-11
timing__excess_time_delay__reference,7.807708392254327,7.807708392254213,1.1368683772161603e-13
timing__excess_time_delay__cos1,-1.0386430561603774,-1.0386430561625626,2.185140957067233e-12
timing__excess_time_delay__sin1,-0.8858165535689316,-0.8858165535721428,3.2112090764258028e-12
timing__excess_time_delay__cos2,0.20275578000686278,0.2027557800019618,4.900996275480907e-12
timing__excess_time_delay__sin2,0.04892468257561852,0.0489246825838103,8.191780587196718e-12
timing__excess_time_delay__cos3,-0.020584977701490703,-0.0205849776919619,9.528804828518034e-12
timing__excess_time_delay__sin3,-0.18059842967546008,-0.1805984296786748,3.214706278953372e-12
timing__arrival_time_relative__mean,113.54148877222782,113.54148877215007,7.774758614687016e-11
timing__arrival_time_relative__amplitude,93.48366527272493,93.48366527266946,5.547917680814862e-11
timing__arrival_time_relative__cos1,-15.688052649800502,-15.68805264981022,9.71844826835877e-12
timing__arrival_time_relative__sin1,-59.544117523184404,-59.54411752311047,7.393197165583842e-11
timing__arrival_time_relative__cos2,-1.7654232959292877,-1.7654232959071137,2.21740403816284e-11
timing__arrival_time_relative__sin2,-29.81693623602316,-29.81693623603563,1.2470025012589758e-11
timing__arrival_time_relative__cos3,-0.7656967321774004,-0.7656967321672945,1.010591610395295e-11
timing__arrival_time_relative__sin3,-19.874896643978172,-19.87489664396937,8.80007178238884e-12
