k,wq,observable_set,sigma_max,sigma_min,condition_number,cosine_similarity,sensitivity_angle_deg,numerical_rank,gram_determinant,derivative_scheme_k,derivative_scheme_wq,derivative_quality,missing_features,feature_count,rank_tolerance,parameter_k_scale,parameter_wq_scale
0.0,-0.45,ringdown_only,1.4614935019123765,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.4614935019123765e-10,0.0025,0.2625
0.0,-0.45,ringdown_plus_photon_geometry,1.5332490208273037,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.5332490208273038e-10,0.0025,0.2625
0.0,-0.45,ringdown_plus_all_shooting,1.8774099464613385,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.8774099464613387e-10,0.0025,0.2625
0.00025,-0.7125,orbital,7.940712209801373,0.044046362869478356,180.28076990901417,-0.999735377972112,178.68186405162928,2,0.12233170184881585,central,one_sided_forward,one_sided,,18,7.940712209801374e-10,0.0025,0.2625
0.00025,-0.7125,photon_geometry,10.120791282775096,0.4504386914307823,22.4687431948335,-0.9856391351965904,170.27814727049633,2,20.78262080237449,central,one_sided_forward,one_sided,,27,1.0120791282775096e-09,0.0025,0.2625
0.00025,-0.7125,redshift,5.074037878126523,0.12939489062361792,39.21358759740997,-0.9951658612647147,174.36398300703632,2,0.43106391160832086,central,one_sided_forward,one_sided,,9,5.074037878126523e-10,0.0025,0.2625
0.00025,-0.7125,timing,6.300174555143123,0.7666392847111921,8.217912492596202,-0.872983619515004,150.80722853158957,2,23.32852629966874,central,one_sided_forward,one_sided,,17,6.300174555143123e-10,0.0025,0.2625
0.00025,-0.7125,all_shooting,15.194024040811737,0.9350581676865413,16.24928220070392,-0.9704196725469961,166.02938514523512,2,201.8472675702741,central,one_sided_forward,one_sided,,71,1.5194024040811738e-09,0.0025,0.2625
0.00025,-0.7125,ringdown_only,2.3597921911673247,0.09290228897749535,25.400797086269435,-0.7436598728375357,138.0441209339505,2,0.04806183502315244,central,one_sided_forward,one_sided,,4,2.359792191167325e-10,0.0025,0.2625
0.00025,-0.7125,ringdown_plus_photon_geometry,10.379047072566268,0.6970961845250633,14.888974151590842,-0.9655652465575064,164.9203834790952,2,52.3480338570147,central,one_sided_forward,one_sided,,31,1.0379047072566267e-09,0.0025,0.2625
